date_mesure;06932X0178_P10;06505X0093_PZ10;07004X0046_D6-20;07662X0277_45B-01;06932X0179_P11;05986X0106_P16-21;08422X0190_F1;08664X0069_F1;06932X0170_P1;07421X0080_P1;07916X0008_P1;07657X0018_P1;08187X0238_P1;07955X0099_P1;06995C0208_S1;07662X0279_P45B02;06993X0226_MEXI_2;06533X0070_F2;08422X0191_F2;08424X0006_F2;06518X0026_P2;07174X0179_P2;07662X0278_45B-03;08413X0091_F3;07475X0008_F3;07464X0005_SM3;05986X0104_P16-14;07266X0052_PS4;06993X0087_F6;06941X0248_P40-07;06931X0052_N27;06941X0249_P40-08;06942X0163_P40-09;05761X1027_FRESSA;07975X0081_PGB;06288X0096_SB;07208X0197_F1C;06505X0080_FORC;07256X0095_CHAMBE;06696X0024_FORAGE;06306X0042_BIOGE;07488X0011_F;06988C0281_F;08353X0052_F;07237X0113_F;07204X0105_F;07635X0035_F;07704X0007_F;08915X1007_F;06461X0018_F;06742X0001_VILLEN;05992X1084_AUBIN;08188X0045_BERN;06741X0046_F1PLIO;09152X0012_P;08191X0022_P;07953X0104_P;06792X0057_P;06211X0042_P1BOSQ;06995C0271_S;07224X0102_S;07223C0113_S;07221D0023_S;09153X0024_S;07224X0106_S;07476X0029_S;07944X0049_S;06198X0023_PUITS;07494X0026_CRUET;06226X0001_PT;06211X0041_P3CAPT;05761X1026_LEPORT;06923X0004_CALV;07231C0252_BUCLAY;06537X0103_VEIGY;07965X0081_HY;09165X0003_HY;06512X0037_STREMY;08195X0018_26081Z;06991X0220_PZ;06191X0163_PZ;07172X0116_PZ;06261X0007_PZ;08423X0067_PZ;06503X0028_PZ;07203X0168_PZ;06256X0188_PZ
2010-03-07;-38.03142857142858;-5.811428571428571;-1.1485714285714284;-2.692857142857143;-37.33857142857143;-1.7342857142857144;-1.5014285714285713;-46.01428571428572;-35.768571428571434;-3.494285714285714;-21.474285714285713;-1.0642857142857143;-6.998571428571429;-84.92;-36.978571428571435;-2.4;-12.115714285714287;-9.678571428571429;-4.998571428571429;-3.162857142857143;-23.135714285714283;-4.518571428571429;-3.0014285714285713;-9.525714285714287;-22.011428571428574;-21.462857142857143;-2.357142857142857;-4.305714285714286;-7.6;-3.0742857142857143;-110.56285714285715;-3.3042857142857143;-5.047142857142857;-1.9457142857142855;-1.5714285714285714;-41.28285714285715;-11.430000000000001;-10.512857142857143;-3.0542857142857143;-15.514285714285714;-58.191428571428574;-2.835714285714286;-16.754285714285714;-5.314285714285715;-1.092857142857143;-2.642857142857143;-3.7633333333333336;-7.335714285714286;-6.13;-19.892857142857142;-28.945714285714285;-5.461428571428572;-3.2785714285714285;-1.5971428571428572;-2.9271428571428575;-9.202857142857143;-6.890000000000001;-479.6857142857143;-2.077142857142857;-27.934285714285714;-25.57428571428571;-6.885714285714285;-28.017142857142858;-2.292857142857143;-22.06142857142857;-31.237142857142857;-7.307142857142857;-2.474285714285714;-3.3185714285714285;-2.4414285714285713;-3.1285714285714286;-7.582857142857143;-1.6414285714285712;-33.47142857142857;-55.30714285714286;-1.2442857142857144;-0.48714285714285716;-4.272857142857143;-5.238571428571428;-182.32571428571427;-5.322857142857143;-26.71142857142857;-184.83571428571432;-3.0100000000000002;-177.8114285714286;-4.8028571428571425;-3.835714285714286
2010-03-11;-38.10857142857144;-6.085714285714285;-1.2514285714285713;-2.7871428571428574;-37.419285714285714;-1.7735714285714286;-1.555;-46.57357142857143;-35.77142857142857;-3.560714285714286;-21.519285714285715;-1.1264285714285713;-6.989285714285714;-84.92225;-36.95928571428571;-2.4135714285714283;-12.211428571428574;-9.701428571428572;-5.012857142857143;-3.1607142857142856;-23.12642857142857;-4.744285714285715;-3.017857142857143;-9.39857142857143;-22.044285714285714;-21.41857142857143;-2.3635714285714284;-4.332857142857144;-7.600714285714286;-3.1407142857142856;-110.57642857142858;-3.281428571428571;-5.032142857142857;-1.9235714285714285;-1.5992857142857142;-41.26785714285714;-11.432857142857143;-10.614285714285714;-3.2507142857142854;-15.517857142857142;-58.27357142857143;-2.821428571428571;-16.753571428571426;-5.788571428571428;-1.0971428571428574;-2.6464285714285714;-3.8023809523809526;-7.313571428571429;-6.130714285714285;-19.924999999999997;-28.957857142857144;-5.689285714285715;-3.2685714285714287;-2.0635714285714286;-2.962142857142857;-9.088571428571429;-6.887142857142857;-479.56928571428574;-2.100714285714286;-27.896428571428572;-25.562142857142856;-6.89;-28.007857142857144;-2.3607142857142858;-22.055;-31.212142857142858;-7.300714285714285;-2.5264285714285712;-3.3378571428571426;-2.585;-3.1914285714285713;-7.571428571428571;-1.8357142857142859;-33.480000000000004;-55.40857142857143;-1.2821428571428573;-0.5528571428571428;-4.309285714285714;-5.249285714285714;-182.33785714285713;-5.409285714285714;-26.62642857142857;-184.83428571428573;-3.0785714285714287;-177.80571428571432;-4.806428571428571;-4.113571428571428
2010-03-14;-38.18571428571429;-6.36;-1.3542857142857143;-2.8814285714285712;-37.5;-1.812857142857143;-1.6085714285714285;-47.13285714285714;-35.77428571428572;-3.6271428571428572;-21.564285714285713;-1.1885714285714286;-6.9799999999999995;-84.9245;-36.94;-2.427142857142857;-12.307142857142859;-9.724285714285713;-5.027142857142857;-3.1585714285714284;-23.117142857142856;-4.97;-3.0342857142857143;-9.271428571428572;-22.077142857142857;-21.374285714285715;-2.37;-4.36;-7.601428571428571;-3.207142857142857;-110.59;-3.2585714285714285;-5.017142857142857;-1.9014285714285715;-1.6271428571428572;-41.25285714285714;-11.435714285714285;-10.715714285714286;-3.447142857142857;-15.52142857142857;-58.355714285714285;-2.807142857142857;-16.752857142857142;-6.2628571428571425;-1.1014285714285716;-2.65;-3.8414285714285716;-7.291428571428571;-6.131428571428572;-19.957142857142856;-28.97;-5.917142857142857;-3.2585714285714285;-2.5300000000000002;-2.9971428571428573;-8.974285714285715;-6.884285714285714;-479.45285714285717;-2.1242857142857146;-27.858571428571427;-25.55;-6.894285714285714;-27.99857142857143;-2.4285714285714284;-22.048571428571428;-31.187142857142856;-7.2942857142857145;-2.5785714285714287;-3.357142857142857;-2.7285714285714286;-3.2542857142857144;-7.5600000000000005;-2.0300000000000002;-33.48857142857143;-55.51;-1.32;-0.6185714285714285;-4.345714285714286;-5.26;-182.35;-5.4957142857142856;-26.541428571428572;-184.83285714285714;-3.1471428571428572;-177.8;-4.81;-4.3914285714285715
2010-03-18;-38.260714285714286;-6.525714285714287;-1.3914285714285715;-2.934285714285714;-37.57357142857143;-1.8464285714285715;-1.6335714285714285;-47.58642857142857;-35.784285714285716;-3.6828571428571433;-21.637857142857143;-1.1764285714285714;-6.998571428571428;-84.92675;-36.91357142857143;-2.455;-12.467142857142857;-9.747857142857143;-5.133571428571429;-3.2035714285714283;-23.110714285714288;-5.072857142857143;-3.0650000000000004;-9.187857142857144;-22.10642857142857;-21.334285714285713;-2.40125;-4.396428571428572;-7.609285714285715;-3.274285714285714;-110.59857142857143;-3.2628571428571425;-5.007857142857143;-1.9285714285714286;-1.6071428571428572;-41.230714285714285;-11.432142857142857;-10.825714285714286;-3.5164285714285715;-15.525714285714285;-58.263571428571424;-2.9592857142857145;-16.75142857142857;-6.749285714285714;-1.1392857142857145;-2.701428571428571;-3.875;-7.3392857142857135;-6.155;-19.970714285714283;-28.957142857142856;-6.0964285714285715;-3.2514285714285713;-2.7078571428571427;-3.0435714285714286;-8.997857142857143;-6.888571428571429;-479.4328571428572;-2.1671428571428573;-27.83142857142857;-25.535000000000004;-6.905714285714286;-28.017857142857146;-2.5128571428571425;-22.037857142857142;-31.163571428571426;-7.292142857142857;-2.62;-3.4178571428571427;-2.8292857142857146;-3.3200000000000003;-7.609285714285715;-2.25;-33.496428571428574;-55.550714285714285;-1.2964285714285715;-0.6242857142857143;-4.381428571428572;-5.265714285714285;-182.35214285714284;-5.566428571428571;-26.480714285714285;-184.8292857142857;-3.230714285714286;-177.79142857142858;-4.812857142857142;-4.530714285714286
2010-03-21;-38.33571428571429;-6.691428571428572;-1.4285714285714286;-2.987142857142857;-37.64714285714285;-1.8800000000000001;-1.6585714285714286;-48.04;-35.794285714285714;-3.738571428571429;-21.711428571428574;-1.1642857142857141;-7.017142857142857;-84.929;-36.887142857142855;-2.482857142857143;-12.627142857142857;-9.77142857142857;-5.24;-3.248571428571428;-23.104285714285716;-5.175714285714286;-3.095714285714286;-9.104285714285714;-22.135714285714283;-21.294285714285714;-2.4325;-4.432857142857143;-7.617142857142857;-3.3414285714285716;-110.60714285714286;-3.267142857142857;-4.998571428571429;-1.9557142857142857;-1.587142857142857;-41.20857142857143;-11.428571428571429;-10.935714285714285;-3.585714285714286;-15.53;-58.17142857142857;-3.1114285714285717;-16.75;-7.235714285714286;-1.1771428571428573;-2.7528571428571427;-3.9085714285714284;-7.387142857142857;-6.178571428571429;-19.98428571428571;-28.944285714285716;-6.275714285714286;-3.244285714285714;-2.8857142857142857;-3.09;-9.02142857142857;-6.892857142857143;-479.41285714285715;-2.21;-27.804285714285715;-25.520000000000003;-6.917142857142857;-28.037142857142857;-2.597142857142857;-22.027142857142856;-31.139999999999997;-7.29;-2.6614285714285715;-3.4785714285714286;-2.93;-3.3857142857142857;-7.658571428571428;-2.4699999999999998;-33.504285714285714;-55.59142857142857;-1.272857142857143;-0.63;-4.417142857142857;-5.271428571428571;-182.3542857142857;-5.637142857142857;-26.419999999999998;-184.82571428571427;-3.314285714285714;-177.78285714285715;-4.815714285714286;-4.67
2010-03-25;-38.38285714285715;-6.75;-1.2914285714285714;-2.954285714285714;-37.68928571428572;-1.895;-1.6321428571428571;-48.36785714285715;-35.802142857142854;-3.725714285714286;-21.772142857142857;-1.1521428571428571;-7.036428571428571;-84.93125;-36.86;-2.480714285714286;-12.667857142857143;-9.747857142857143;-5.286428571428571;-3.2785714285714285;-23.096428571428575;-5.102142857142858;-3.0842857142857145;-8.943571428571428;-22.082142857142856;-21.252857142857142;-2.46375;-4.434285714285714;-7.619285714285715;-3.3392857142857144;-110.60285714285715;-3.2771428571428567;-4.995;-1.965;-1.6307142857142856;-41.08357142857143;-11.427142857142858;-10.992857142857142;-3.522857142857143;-15.533571428571427;-57.177857142857135;-3.218571428571429;-16.735714285714288;-7.534285714285714;-1.1592857142857143;-2.730714285714286;-3.9207142857142854;-7.441428571428571;-6.205714285714286;-19.989285714285714;-28.93714285714286;-6.296428571428571;-3.236428571428571;-2.902857142857143;-3.0935714285714284;-9.044285714285714;-6.8914285714285715;-479.6114285714286;-2.237142857142857;-27.767142857142858;-25.50857142857143;-6.916428571428572;-28.02357142857143;-2.5864285714285717;-22.017857142857142;-31.115714285714283;-7.280714285714286;-2.68;-3.3114285714285714;-2.9471428571428575;-3.4092857142857143;-7.712142857142857;-2.4728571428571424;-33.51214285714286;-55.58714285714286;-1.2335714285714285;-0.6221428571428571;-4.421428571428572;-5.275714285714286;-182.34857142857143;-5.604285714285714;-26.375714285714285;-184.8278571428571;-3.3607142857142858;-177.82642857142855;-4.817857142857143;-4.633571428571429
2010-03-28;-38.43;-6.808571428571428;-1.1542857142857144;-2.9214285714285713;-37.73142857142857;-1.91;-1.6057142857142856;-48.69571428571429;-35.81;-3.712857142857143;-21.83285714285714;-1.14;-7.055714285714286;-84.93350000000001;-36.832857142857144;-2.4785714285714286;-12.708571428571428;-9.724285714285715;-5.332857142857143;-3.3085714285714287;-23.08857142857143;-5.028571428571429;-3.072857142857143;-8.782857142857143;-22.02857142857143;-21.21142857142857;-2.495;-4.435714285714286;-7.621428571428572;-3.337142857142857;-110.59857142857143;-3.287142857142857;-4.991428571428571;-1.9742857142857144;-1.6742857142857142;-40.958571428571425;-11.425714285714287;-11.049999999999999;-3.46;-15.537142857142856;-56.18428571428571;-3.325714285714286;-16.72142857142857;-7.832857142857143;-1.1414285714285715;-2.7085714285714286;-3.932857142857143;-7.4957142857142856;-6.232857142857143;-19.994285714285716;-28.93;-6.317142857142857;-3.2285714285714286;-2.9200000000000004;-3.097142857142857;-9.067142857142857;-6.890000000000001;-479.81;-2.2642857142857142;-27.73;-25.497142857142858;-6.9157142857142855;-28.009999999999998;-2.575714285714286;-22.00857142857143;-31.09142857142857;-7.271428571428571;-2.698571428571429;-3.1442857142857146;-2.9642857142857144;-3.432857142857143;-7.765714285714286;-2.4757142857142855;-33.52;-55.582857142857144;-1.1942857142857142;-0.6142857142857142;-4.425714285714286;-5.28;-182.34285714285716;-5.571428571428571;-26.33142857142857;-184.82999999999998;-3.4071428571428575;-177.86999999999998;-4.82;-4.597142857142857
2010-04-01;-38.40428571428571;-6.650714285714285;-1.0685714285714285;-2.8135714285714286;-37.692142857142855;-1.8935714285714287;-1.5142857142857142;-48.65142857142857;-35.815714285714286;-3.6285714285714286;-21.862142857142857;-1.042142857142857;-7.071428571428571;-84.93575;-36.80428571428571;-2.437857142857143;-12.53142857142857;-9.670000000000002;-5.267857142857142;-3.282857142857143;-23.075000000000003;-4.828571428571429;-3.0335714285714284;-8.634285714285713;-21.81357142857143;-21.170714285714283;-2.52625;-4.353571428571429;-7.6207142857142856;-3.2342857142857144;-110.59071428571428;-3.2699999999999996;-4.9957142857142856;-1.927857142857143;-1.65;-40.85357142857143;-11.427857142857144;-10.995714285714286;-3.3721428571428573;-15.54;-56.59285714285714;-3.220714285714286;-16.716428571428573;-6.758571428571429;-1.07;-2.6814285714285715;-3.843571428571429;-7.437142857142857;-6.229285714285714;-20.032857142857146;-28.935714285714283;-6.031428571428571;-3.202857142857143;-2.6542857142857144;-3.0392857142857146;-9.070714285714285;-6.888571428571429;-479.8471428571429;-2.2314285714285713;-27.73642857142857;-25.47357142857143;-6.91;-28.00142857142857;-2.4578571428571427;-21.997142857142858;-31.064285714285713;-7.265714285714285;-2.6635714285714287;-3.065;-2.8378571428571426;-3.3385714285714285;-7.7664285714285715;-2.084285714285714;-33.52;-55.712857142857146;-1.2028571428571428;-0.5978571428571429;-4.3585714285714285;-5.237142857142857;-182.34714285714287;-5.440714285714286;-26.30357142857143;-184.83499999999998;-3.3707142857142856;-177.88142857142856;-4.820714285714286;-4.4399999999999995
2010-04-04;-38.378571428571426;-6.492857142857143;-0.9828571428571429;-2.705714285714286;-37.652857142857144;-1.8771428571428572;-1.422857142857143;-48.607142857142854;-35.82142857142857;-3.544285714285714;-21.891428571428573;-0.9442857142857143;-7.087142857142857;-84.938;-36.77571428571429;-2.3971428571428572;-12.354285714285714;-9.615714285714287;-5.202857142857143;-3.257142857142857;-23.06142857142857;-4.628571428571428;-2.994285714285714;-8.485714285714286;-21.59857142857143;-21.13;-2.5575;-4.271428571428571;-7.62;-3.1314285714285717;-110.58285714285715;-3.2528571428571427;-5.0;-1.8814285714285715;-1.6257142857142857;-40.74857142857143;-11.430000000000001;-10.941428571428572;-3.2842857142857143;-15.542857142857143;-57.00142857142857;-3.1157142857142857;-16.711428571428574;-5.684285714285714;-0.9985714285714286;-2.6542857142857144;-3.7542857142857144;-7.378571428571428;-6.225714285714285;-20.071428571428573;-28.94142857142857;-5.7457142857142856;-3.1771428571428575;-2.3885714285714283;-2.9814285714285718;-9.074285714285715;-6.887142857142857;-479.88428571428574;-2.198571428571429;-27.74285714285714;-25.45;-6.904285714285714;-27.99285714285714;-2.34;-21.985714285714288;-31.037142857142857;-7.26;-2.6285714285714286;-2.9857142857142853;-2.7114285714285713;-3.244285714285714;-7.767142857142858;-1.6928571428571428;-33.52;-55.84285714285714;-1.2114285714285715;-0.5814285714285715;-4.291428571428571;-5.194285714285714;-182.35142857142858;-5.3100000000000005;-26.275714285714287;-184.84;-3.334285714285714;-177.89285714285714;-4.821428571428571;-4.282857142857143
2010-04-08;-38.36285714285714;-6.318571428571429;-1.0535714285714286;-2.770714285714286;-37.63714285714286;-1.857857142857143;-1.3685714285714288;-46.84428571428571;-35.82785714285714;-3.5685714285714285;-21.94571428571429;-1.025;-7.050714285714285;-84.95185714285714;-36.75071428571428;-2.4114285714285715;-12.321428571428571;-9.619285714285715;-4.937857142857142;-3.1614285714285715;-23.044285714285714;-4.709999999999999;-3.02;-8.407142857142857;-21.39857142857143;-21.095;-2.58875;-4.195714285714286;-7.617142857142857;-3.1392857142857142;-110.60642857142858;-3.2357142857142858;-4.991428571428571;-1.7921428571428573;-1.6442857142857144;-40.66714285714286;-11.438571428571429;-10.84;-3.2907142857142855;-15.549285714285714;-57.16428571428571;-2.9935714285714283;-16.716428571428573;-5.67;-1.0150000000000001;-2.715;-3.7407142857142857;-7.212142857142856;-6.1899999999999995;-20.312857142857144;-28.954285714285714;-5.7178571428571425;-3.1014285714285714;-2.169285714285714;-2.8150000000000004;-9.055714285714286;-6.860714285714286;-479.845;-2.1671428571428573;-27.763095238095236;-25.428571428571427;-6.908571428571428;-27.99285714285714;-2.269285714285714;-21.980714285714285;-30.978571428571428;-7.246428571428572;-2.5707142857142857;-3.0335714285714284;-2.6485714285714286;-3.217142857142857;-7.707857142857144;-1.6857142857142857;-33.52;-55.82142857142857;-1.2042857142857142;-0.5528571428571429;-4.277857142857142;-5.172142857142857;-182.365;-5.352142857142857;-26.27642857142857;-184.83785714285713;-3.1757142857142857;-177.87285714285713;-4.825714285714286;-4.202857142857143
