date_mesure;02388X0060_F1;03851X0021_S2;03128X0011_F;02442X0111_F;03822X0021_F;03113X0031_F;02465X0061_F;03493X0013_F;02451X0023_F;03114X0023_F;03462X0043_F;04184X0035_F;02431X0106_F;02408X0016_F;03546X0017_F;03152X0027_F;03107X0008_F;03124X0088_F;03884X0021_TF1PR;02396X0030_PZ;03486X0022_PZ;02478X0122_PZ;02047X0072_PZ;02034X0082_PZ;03101X0023_PZ;03535X0043_PZ;02796X0044_PZ;02413X0065_PZ;03137X0026_PZ;02803X0036_PZ;03516X0036_PZ;02385X0046_PZ;02478X0156_PZ;03182X0027_PZ;02782X0047_PZ;02812X0238_PZ;03175X0338_PZ;03473X0029_PZ;03162X0049_PZ;03834X0049_PZ
2006-03-23;-6.347142857142857;-0.7885714285714285;-12.258571428571429;-0.5489999999999999;-1.7114285714285715;-1.4957142857142858;-7.655714285714287;-7.331428571428572;-1.1785714285714286;-3.032857142857143;-6.512857142857143;-5.021428571428571;-1.8771428571428572;-12.781428571428572;-2.8457142857142856;-3.6471428571428572;-5.998571428571429;-10.425714285714287;-5.748571428571429;-6.574285714285714;-20.43285714285714;-4.985714285714286;-5.01;-3.7385714285714284;-6.0928571428571425;-3.108571428571429;-0.79;-2.8485714285714288;-10.31857142857143;-0.9742857142857143;-3.251428571428572;-0.8228571428571428;-4.9557142857142855;-4.832857142857143;-4.627142857142857;-1.24;-2.205714285714286;-2.782857142857143;-7.5371428571428565;-8.02
2006-03-30;-6.014285714285714;-0.6114285714285714;-10.95857142857143;-0.5475;-1.5157142857142856;-1.0414285714285714;-7.827142857142857;-6.864285714285714;-1.2428571428571427;-2.0100000000000002;-6.308571428571428;-3.3714285714285714;-1.912857142857143;-12.5;-2.3242857142857143;-3.2528571428571427;-4.862857142857143;-9.295714285714284;-4.578571428571428;-6.368571428571428;-18.360000000000003;-4.898571428571429;-5.0042857142857144;-3.738571428571429;-5.741428571428571;-2.7457142857142856;-0.7771428571428572;-2.795714285714286;-9.032857142857143;-0.9614285714285715;-2.9400000000000004;-0.9114285714285714;-4.868571428571428;-4.547142857142857;-4.272857142857143;-1.2442857142857144;-2.204285714285714;-1.8671428571428572;-7.3914285714285715;-7.365714285714286
2006-04-06;-6.8;-0.8485714285714286;-10.901428571428571;-0.5857142857142856;-1.9185714285714286;-1.717142857142857;-7.957142857142857;-7.3428571428571425;-1.412857142857143;-2.4314285714285715;-6.344285714285713;-4.738571428571428;-2.1842857142857146;-12.314285714285715;-2.302857142857143;-3.1914285714285713;-5.825714285714286;-10.569999999999999;-4.138571428571429;-7.374285714285714;-18.602857142857143;-4.82;-5.194285714285714;-3.9899999999999998;-6.194285714285714;-2.4614285714285713;-0.9314285714285714;-2.9957142857142856;-8.965714285714286;-1.1214285714285714;-3.2857142857142856;-1.2985714285714285;-4.79;-4.498571428571428;-5.021428571428571;-1.2814285714285716;-2.2214285714285715;-3.6814285714285715;-7.057142857142857;-8.069999999999999
2006-04-13;-7.362857142857143;-0.9471428571428572;-11.428571428571429;-0.5942857142857143;-2.21;-2.212857142857143;-8.17;-7.652857142857143;-1.4728571428571429;-3.2414285714285715;-6.5;-5.621428571428572;-2.2971428571428567;-12.200000000000001;-2.4757142857142855;-3.307142857142857;-6.924285714285714;-11.819999999999999;-4.314285714285714;-8.15857142857143;-19.824285714285715;-4.798571428571428;-5.454285714285715;-4.164285714285714;-6.401428571428572;-2.4714285714285715;-0.9571428571428572;-3.1685714285714286;-9.581428571428571;-1.2214285714285715;-3.63;-1.5257142857142856;-4.768571428571428;-4.622857142857143;-5.481428571428571;-1.2785714285714285;-2.2214285714285715;-4.914285714285714;-7.028571428571429;-8.595714285714285
2006-04-20;-7.725714285714285;-1.0757142857142858;-11.912857142857144;-0.6771428571428572;-2.3942857142857146;-2.665714285714286;-8.152857142857142;-7.827142857142857;-1.4457142857142855;-4.088571428571429;-6.642857142857143;-6.054285714285713;-2.415714285714286;-12.16;-2.6757142857142857;-3.4514285714285715;-7.752857142857143;-12.407142857142857;-4.522857142857143;-8.675714285714285;-20.73;-4.798571428571429;-5.728571428571429;-4.297142857142857;-6.474285714285714;-2.5799999999999996;-0.9514285714285714;-3.322857142857143;-10.165714285714285;-1.247142857142857;-3.891428571428572;-1.6871428571428573;-4.768571428571428;-4.755714285714285;-5.722857142857143;-1.2971428571428572;-2.22;-5.46;-7.185714285714285;-8.891428571428571
2006-04-27;-7.972857142857143;-1.1914285714285715;-12.301428571428572;-0.7071428571428572;-2.5485714285714285;-3.0700000000000003;-8.115714285714287;-7.967142857142856;-1.53;-4.7057142857142855;-6.774285714285715;-6.404285714285714;-2.501428571428572;-12.180000000000001;-2.858571428571429;-3.6285714285714286;-8.335714285714285;-12.937142857142858;-4.725714285714285;-9.147142857142857;-21.38;-4.824285714285715;-5.99;-4.424285714285714;-6.51;-2.665714285714286;-1.0085714285714287;-3.4614285714285713;-10.65857142857143;-1.342857142857143;-4.061428571428571;-1.812857142857143;-4.7942857142857145;-4.905714285714287;-5.8500000000000005;-1.3185714285714287;-2.2271428571428573;-5.631428571428572;-7.382857142857143;-9.084285714285715
2006-05-04;-8.110000000000001;-1.2885714285714285;-12.65;-0.7928571428571428;-2.712857142857143;-3.4385714285714286;-8.061428571428573;-8.098571428571429;-1.6400000000000001;-5.14;-6.914285714285714;-6.761428571428572;-2.5928571428571425;-12.275714285714287;-3.042857142857143;-3.834285714285714;-8.76;-13.698571428571428;-4.888571428571429;-9.554285714285713;-21.84;-4.87;-6.228571428571429;-4.518571428571429;-6.622857142857143;-2.782857142857143;-1.1814285714285713;-3.5942857142857143;-11.075714285714286;-1.4742857142857144;-4.312857142857143;-1.92;-4.840000000000001;-5.055714285714286;-5.9314285714285715;-1.3514285714285716;-2.2357142857142858;-5.804285714285714;-7.614285714285714;-9.26142857142857
2006-05-11;-8.208571428571428;-1.3814285714285715;-12.941428571428572;-0.8142857142857143;-2.858571428571429;-3.8628571428571425;-8.077142857142857;-8.207142857142857;-1.6928571428571428;-5.492857142857143;-7.0442857142857145;-7.112857142857143;-2.6285714285714286;-12.401428571428571;-3.1971428571428575;-4.052857142857143;-9.067142857142857;-14.030380952380952;-5.038571428571429;-9.881428571428572;-22.185714285714287;-4.92;-6.348571428571428;-4.615714285714286;-6.725714285714285;-2.8757142857142854;-1.3257142857142858;-3.71;-11.417142857142858;-1.5785714285714287;-4.5;-2.0100000000000002;-4.890000000000001;-5.188571428571429;-5.998571428571429;-1.374285714285714;-2.245714285714286;-6.002857142857144;-7.838571428571428;-9.35
2006-05-18;-8.227142857142857;-1.3985714285714284;-13.138571428571428;-0.9042857142857142;-2.9771428571428573;-4.142857142857143;-8.12142857142857;-8.257142857142856;-1.75;-5.727142857142858;-7.109999999999999;-7.354285714285714;-2.6814285714285715;-12.537142857142857;-3.322857142857143;-4.257142857142857;-9.1;-14.362190476190476;-5.1414285714285715;-9.728571428571428;-22.431428571428572;-4.954285714285715;-6.438571428571429;-4.682857142857143;-6.698571428571428;-2.955714285714286;-1.3685714285714285;-3.7671428571428573;-11.665714285714285;-1.6542857142857144;-4.362857142857143;-2.07;-4.924285714285714;-5.275714285714286;-6.04;-1.397142857142857;-2.25;-5.524285714285715;-8.002857142857142;-9.28
2006-05-25;-8.254285714285714;-1.4742857142857144;-13.262857142857143;-1.1300000000000001;-3.107142857142857;-4.227142857142858;-8.214285714285714;-8.33;-1.8514285714285716;-5.89;-7.127142857142857;-7.598571428571428;-2.781428571428571;-12.70142857142857;-3.488571428571429;-4.467142857142858;-9.148571428571428;-14.693999999999999;-5.3028571428571425;-8.785714285714286;-22.632857142857144;-5.025714285714286;-6.647142857142858;-4.714285714285714;-6.6085714285714285;-3.051428571428571;-1.2357142857142858;-3.8049999999999997;-11.854285714285714;-1.7885714285714285;-4.467142857142858;-2.1342857142857143;-4.9957142857142856;-5.425714285714285;-6.018571428571428;-1.4271428571428573;-2.2714285714285714;-3.912857142857143;-8.285714285714286;-9.154285714285715
2006-06-01;-8.325714285714286;-1.5957142857142856;-13.430000000000001;-1.337142857142857;-3.2199999999999998;-4.285714285714286;-8.281428571428572;-8.461428571428572;-1.91;-6.002857142857143;-7.218571428571429;-7.9157142857142855;-2.8757142857142854;-12.835714285714285;-3.61;-4.755714285714285;-9.422857142857142;-15.025809523809523;-5.417142857142857;-9.064285714285715;-22.798571428571428;-5.088571428571428;-6.822857142857143;-4.812857142857142;-6.707142857142857;-3.1242857142857146;-1.5214285714285716;-3.922380952380952;-12.038571428571428;-1.9357142857142855;-4.721428571428571;-2.218571428571429;-5.058571428571428;-5.534285714285715;-6.025714285714286;-1.4614285714285715;-2.2885714285714287;-4.562857142857143;-8.51142857142857;-9.33
2006-06-08;-8.374285714285714;-1.6928571428571428;-13.608571428571427;-1.542857142857143;-3.3042857142857143;-4.441428571428571;-8.33;-8.572857142857142;-1.95;-6.078571428571428;-7.312857142857142;-8.212857142857143;-2.934285714285714;-12.957142857142857;-3.707142857142857;-5.094285714285713;-9.598571428571429;-15.357619047619046;-5.498571428571429;-9.687142857142858;-22.93;-5.140000000000001;-6.9557142857142855;-4.937142857142858;-6.852857142857142;-3.18;-1.8728571428571428;-4.039761904761904;-12.22;-2.0385714285714287;-4.852857142857142;-2.302857142857143;-5.109999999999999;-5.621428571428572;-6.08;-1.497142857142857;-2.292857142857143;-5.359999999999999;-8.678571428571429;-9.497142857142858
2006-06-15;-8.41;-1.7657142857142856;-13.801428571428572;-1.6314285714285715;-3.402857142857143;-4.6499999999999995;-8.415714285714285;-8.661428571428571;-2.0157142857142856;-6.225714285714285;-7.410000000000001;-8.518571428571429;-2.987142857142857;-13.087142857142856;-3.838571428571428;-5.428571428571429;-9.754285714285714;-15.689428571428572;-5.5928571428571425;-10.147142857142857;-23.052857142857142;-5.198571428571428;-7.111428571428571;-5.077142857142857;-6.99;-3.2414285714285715;-2.2357142857142858;-4.157142857142857;-12.392857142857142;-2.1128571428571425;-4.982857142857143;-2.39;-5.168571428571428;-5.711428571428572;-6.127142857142857;-1.5214285714285716;-2.3114285714285714;-5.887142857142857;-8.884285714285713;-9.62142857142857
2006-06-22;-8.45142857142857;-1.852857142857143;-13.991428571428571;-1.8728571428571428;-3.4914285714285715;-4.864285714285714;-8.527142857142858;-8.762857142857143;-2.077142857142857;-6.431428571428571;-7.494285714285715;-8.811428571428571;-3.0599999999999996;-13.217142857142857;-3.9971428571428573;-5.78;-9.882857142857143;-16.021238095238093;-5.692857142857143;-10.445714285714287;-23.16857142857143;-5.264285714285714;-7.274285714285715;-5.215714285714285;-7.138571428571429;-3.3000000000000003;-2.6942857142857144;-4.274523809523809;-12.564285714285715;-2.2214285714285715;-5.121428571428572;-2.48;-5.234285714285714;-5.808571428571428;-6.17;-1.5457142857142858;-2.3285714285714287;-6.218571428571429;-9.107142857142858;-9.705714285714285
