date_mesure;03423X0056_100;04137X0009_C20;04133X0006_30;03786X0074_130;02343X0003_561;03783X0046_71;02718X0039_271;02726X0039_231B1;01995X0103_338B1;01593X0100_F1;03732X0002_F1;03745X0021_P1;02723X0900_245R1;02615X0020_S1;01868X0030_S1;01871X0031_S1;01894X0002_S1;01885X0002_S1;01347X0002_S1;01897X0002_S1;00862X0005_S1;02281X0037_S1;02617X0009_S1;04465X0013_2;04454X0030_P12;03428X0026_122;03426X0195_132;04136X0582_M132;03786X0024_52;03783X0045_82;03427X0027_92;01396X0060_P2;03693X0017_P2;03424X0029_203;04135X0140_M13;03081X0025_223;04137X0051_S23;02718X0017_233;01995X0007_343;03074X0015_263;01584X0023_LV3;03426X0226_PZ3;03078X0014_214;02347X0022_314;04454X0023_S14;03081X0026_224;03427X0252_134;01392X0110_654;04131X0266_PP4;01086X0011_LS4;03043X0056_PZ4;04137X0018_15;04138X0019_25;01381X0070_P25;03795X0037_55;03422X0029_95;02347X0014_316;04124X0105_P16;02725X0024_276;04132X0086_PP6;04136X0199_M107;03082X0023_227;04138X0033_S27;03426X0254_137;03784X0024_77;04131X0081_28;02726X0029_238;04134X0052_S38;02344X0055_319;04138X0027_C19;04454X0019_S19;04131X0479_129;03081X0028_229;04134X0022_39;03081X0038_269;03428X0029_89;02347X0025_318 A;02351X0013_320A;04133X0030_40A;03787X0109_60A;03435X0043_90A;03787X0071_121A;03786X0075_51A;02725X0025_232A;03787X0070_42A;01993X0002_362A;03783X0091_72A;03786X0118_43A;04137X0066_53A;03427X0028_83A;03426X0159_93A;02722X0084_244A;03423X0064_94A;03791X0040_V45A;03787X0088_65A;03791X0045_66A;03431X0027_207A;02344X0091_327A;04454X0013_8A;02344X0062_328A;04132X0096_29A;03787X0072_59A;04133X0033_40B;04132X0190_41B;03428X0067_91B;03782X0025_52B;01698X0002_373B;03782X0080_84B;03791X0048_85B;04132X0193_41C;02725X0180_241C;03086X0024_212C;03782X0113_65C;03788X0142_50D;02344X0004_569D;02723X0101_245E;02344X0026_319E;01612X0116_FE;02293X0118_SE;01695X0131_F;03378X1003_F;03037X0053_F;01937X0054_F;03384X0005_F;02697X0005_F;03077X0238_209F;02726X0008_235G;02347X0457_246G;02994X0092_D07L;02233X0015_FO;00692X0062_P;02603X1064_P;02663X0001_S;01381X0069_S;03427X0545_PUITS;BSS004AXXS_X
2006-03-12;-3.585;-18.2;-22.74;-5.628571428571428;-4.804285714285714;-5.991428571428571;-3.21;-2.17;-1.8699999999999999;-15.784285714285714;-1.0;-2.72;-5.89;-16.26;-6.715714285714285;-13.790000000000001;-19.27857142857143;-4.3;-4.65;-1.95;-3.7;-2.2;-12.822857142857144;-2.71;-2.3585714285714285;-2.83;-3.56;-5.27;-5.7;-4.49;-0.8657142857142858;-11.45;-12.76142857142857;-2.0;-1.99;-1.6642857142857144;-17.51;-2.56;-1.41;-4.2;-16.797142857142855;-12.917142857142858;-4.25;-3.8285714285714287;-14.46;-3.94;-1.1;-18.43;-3.75;-20.254285714285714;-4.0235;-10.225714285714286;-13.2;-2.2885714285714287;-7.95;-1.6385714285714286;-2.72;-8.07;-5.07;-8.405714285714286;-4.85;-2.34;-24.012857142857143;-6.48;-4.92;-4.95;-1.5999999999999999;-14.606666666666666;-2.28;-13.6;-15.732857142857142;-1.75;-2.31;-17.16;-2.3914285714285715;-3.47;-5.08;-3.57;-15.73;-9.767142857142858;-2.48;-11.811428571428573;-5.808571428571428;-1.74;-11.751428571428573;-2.69;-5.521428571428571;-9.06;-19.8;-1.94;-2.575714285714286;-5.94;-1.4242857142857144;-2.2314285714285718;-7.87;-4.44;-3.43;-1.49;-7.518571428571429;-1.6;-4.81;-9.130714285714287;-18.785714285714285;-8.851428571428572;-1.51;-3.63;-3.51;-3.4257142857142857;-2.53;-10.784285714285714;-1.17;-2.05;-6.137142857142857;-10.399523809523808;-6.39;-4.152857142857143;-2.58;-0.52;-2.5;-3.05;-120.98;-84.15;-4.25;-11.794285714285715;-18.8;-2.577142857142857;-2.2385714285714284;-1.22;-5.6571428571428575;-5.4;-1.1957142857142855;-14.459999999999999;-26.892857142857142;-154.02;-2.79;-11.015714285714285
2006-03-16;-3.57;-18.195;-22.77;-5.437142857142857;-4.783571428571429;-5.917857142857143;-3.115;-2.135;-1.8864285714285713;-16.01;-1.0;-2.725;-5.83;-16.137500000000003;-6.619285714285714;-13.670714285714286;-18.96142857142857;-4.15;-4.525;-1.795;-3.2750000000000004;-2.265;-12.680714285714286;-2.69;-2.342142857142857;-2.74;-3.67;-5.095;-5.5;-4.2;-0.8385714285714285;-11.455;-12.820714285714285;-1.955;-2.045;-1.677857142857143;-17.512857142857143;-2.52;-1.335;-4.205;-16.45357142857143;-12.882857142857144;-4.140000000000001;-3.8514285714285714;-12.925;-3.905;-1.15;-18.405;-3.73;-19.77;-3.87025;-9.555;-13.215;-2.182142857142857;-7.84;-1.6142857142857143;-2.76;-7.57;-5.04;-8.087857142857143;-4.71;-2.24;-24.04;-6.545;-4.875;-4.53;-1.622142857142857;-14.603333333333333;-2.3099999999999996;-13.625;-15.706428571428571;-1.73;-2.1950000000000003;-17.17;-2.357857142857143;-3.3550000000000004;-5.08;-3.38;-15.731428571428571;-9.595;-2.455;-11.8;-5.7142857142857135;-1.495;-11.577142857142858;-2.375;-5.377857142857143;-8.96;-19.77;-1.78;-2.468571428571429;-5.86;-1.4257142857142857;-2.2192857142857143;-7.7092857142857145;-4.375;-3.325;-1.415;-7.377857142857144;-1.55;-4.42;-9.119464285714287;-18.79714285714286;-8.194285714285714;-1.405;-2.935;-3.3;-3.440714285714286;-2.5149999999999997;-10.594285714285714;-1.17;-2.025;-6.021428571428572;-10.377619047619048;-6.3149999999999995;-4.107142857142858;-2.5949999999999998;-0.63;-2.395;-2.875;-121.03999999999999;-84.185;-3.675;-11.785714285714286;-18.79;-2.5885714285714285;-2.241428571428571;-1.12;-5.745;-5.300000000000001;-1.2471428571428569;-14.459999999999999;-26.92;-154.07999999999998;-2.865;-10.344999999999999
2006-03-19;-3.495;-18.19;-22.8;-5.2457142857142856;-4.762857142857143;-5.844285714285713;-3.02;-2.1;-1.9028571428571428;-16.235714285714288;-1.0;-2.73;-5.77;-16.015;-6.522857142857142;-13.551428571428572;-18.64428571428571;-4.0;-4.4;-1.64;-2.85;-2.33;-12.538571428571428;-2.67;-2.3257142857142856;-2.65;-3.78;-4.92;-5.3;-3.91;-0.8114285714285714;-11.46;-12.879999999999999;-1.91;-2.1;-1.6914285714285713;-17.515714285714285;-2.48;-1.26;-4.21;-16.11;-12.848571428571429;-4.03;-3.8742857142857146;-11.39;-3.87;-1.2;-18.38;-3.71;-19.285714285714285;-3.717;-8.884285714285713;-13.23;-2.0757142857142856;-7.73;-1.5899999999999999;-2.8;-7.07;-5.01;-7.7700000000000005;-4.57;-2.14;-24.06714285714286;-6.61;-4.83;-4.11;-1.6442857142857144;-14.6;-2.34;-13.65;-15.680000000000001;-1.71;-2.08;-17.18;-2.3242857142857143;-3.24;-5.08;-3.19;-15.732857142857142;-9.422857142857143;-2.43;-11.788571428571428;-5.62;-1.25;-11.402857142857144;-2.06;-5.234285714285714;-8.86;-19.74;-1.62;-2.3614285714285717;-5.78;-1.4271428571428573;-2.2071428571428573;-7.548571428571428;-4.31;-3.22;-1.34;-7.2371428571428575;-1.5;-4.03;-9.108214285714286;-18.80857142857143;-7.5371428571428565;-1.3;-2.24;-3.09;-3.4557142857142855;-2.5;-10.404285714285715;-1.17;-2.0;-5.905714285714287;-10.355714285714285;-6.24;-4.061428571428571;-2.61;-0.74;-2.29;-2.7;-121.1;-84.22;-3.1;-11.777142857142858;-18.78;-2.6;-2.244285714285714;-1.02;-5.832857142857143;-5.2;-1.2985714285714285;-14.459999999999999;-26.947142857142858;-154.14;-2.94;-9.674285714285714
2006-03-23;-3.42;-18.19;-22.814999999999998;-5.138571428571428;-4.746428571428572;-5.788571428571428;-3.075;-2.13;-1.907142857142857;-16.239285714285714;-0.98;-2.74;-5.785;-15.90625;-6.622857142857143;-13.498571428571429;-18.588571428571427;-3.875;-4.525;-1.7;-3.0250000000000004;-5.055;-12.388571428571428;-2.65;-2.3092857142857137;-2.615;-3.79;-4.9175;-5.15;-4.08;-0.905;-11.445;-12.939285714285713;-1.915;-2.0787500000000003;-1.7049999999999998;-17.505714285714284;-2.455;-1.275;-4.195;-15.971428571428572;-12.813571428571429;-3.95;-3.8257142857142856;-11.22;-3.835;-1.22;-18.31;-3.885;-19.005714285714284;-3.56375;-8.708571428571428;-13.265;-2.105;-7.720000000000001;-1.6785714285714286;-2.78;-6.992857142857144;-5.055;-7.677142857142858;-4.535;-2.24;-24.095714285714287;-6.615;-4.795;-4.055;-1.6892857142857145;-14.5925;-2.365;-13.675;-15.616428571428573;-1.69;-2.285;-17.16;-2.2907142857142855;-3.2;-5.08;-3.3499999999999996;-15.693571428571428;-9.379285714285714;-2.43;-11.74;-5.701428571428571;-1.325;-11.370714285714286;-2.045;-5.234285714285714;-8.73;-19.735;-1.82;-2.418571428571429;-5.8149999999999995;-1.5435714285714286;-2.1950000000000003;-7.565714285714286;-4.31;-3.25;-1.48;-7.236428571428572;-1.505;-3.88;-9.096964285714286;-18.789285714285715;-7.689285714285714;-1.335;-2.47;-3.085;-3.486428571428571;-2.5149999999999997;-10.075;-1.1749999999999998;-2.025;-5.799285714285714;-10.338571428571427;-6.235;-4.079285714285714;-2.645;-0.685;-2.205;-2.79;-121.08;-84.175;-2.75;-11.687142857142858;-18.770000000000003;-2.687142857142857;-2.2857142857142856;-1.0899999999999999;-5.922142857142857;-5.050000000000001;-1.3107142857142855;-14.459999999999999;-26.56357142857143;-154.175;-3.0549999999999997;-9.498571428571429
2006-03-26;-3.3449999999999998;-18.19;-22.83;-5.031428571428571;-4.7299999999999995;-5.732857142857143;-3.13;-2.16;-1.9114285714285713;-16.242857142857144;-0.96;-2.75;-5.8;-15.7975;-6.722857142857143;-13.445714285714287;-18.532857142857143;-3.75;-4.65;-1.76;-3.2;-7.78;-12.23857142857143;-2.63;-2.2928571428571423;-2.58;-3.8;-4.915;-5.0;-4.25;-0.9985714285714286;-11.43;-12.998571428571427;-1.92;-2.0575;-1.7185714285714284;-17.495714285714286;-2.43;-1.29;-4.18;-15.832857142857142;-12.778571428571428;-3.87;-3.7771428571428567;-11.05;-3.8;-1.24;-18.24;-4.06;-18.725714285714282;-3.4105;-8.532857142857143;-13.3;-2.1342857142857143;-7.71;-1.7671428571428573;-2.76;-6.915714285714286;-5.1;-7.5842857142857145;-4.5;-2.34;-24.124285714285715;-6.62;-4.76;-4.0;-1.7342857142857144;-14.585;-2.39;-13.7;-15.552857142857144;-1.67;-2.49;-17.14;-2.257142857142857;-3.16;-5.08;-3.51;-15.654285714285715;-9.335714285714285;-2.43;-11.691428571428572;-5.782857142857142;-1.4;-11.338571428571429;-2.03;-5.234285714285714;-8.6;-19.73;-2.02;-2.475714285714286;-5.85;-1.66;-2.182857142857143;-7.582857142857143;-4.31;-3.28;-1.62;-7.235714285714287;-1.51;-3.73;-9.085714285714285;-18.77;-7.841428571428572;-1.37;-2.7;-3.08;-3.5171428571428573;-2.53;-9.745714285714286;-1.18;-2.05;-5.692857142857143;-10.321428571428571;-6.23;-4.097142857142857;-2.68;-0.63;-2.12;-2.88;-121.06;-84.13;-2.4;-11.597142857142858;-18.76;-2.774285714285714;-2.327142857142857;-1.16;-6.011428571428572;-4.9;-1.3228571428571427;-14.459999999999999;-26.18;-154.21;-3.17;-9.322857142857144
2006-03-30;-3.27;-18.17;-22.84;-4.892857142857142;-4.718571428571428;-5.704285714285715;-3.12;-2.1500000000000004;-1.8507142857142858;-15.889285714285716;-0.95;-2.6;-5.765000000000001;-15.68875;-6.566428571428571;-13.337857142857143;-18.735714285714288;-3.625;-4.575;-1.77;-3.1500000000000004;-6.550000000000001;-12.077857142857145;-2.61;-2.284285714285714;-2.5700000000000003;-3.7;-4.9125;-4.85;-3.965;-0.94;-11.425;-13.37142857142857;-1.94;-2.03625;-1.7125;-17.47142857142857;-2.495;-1.3050000000000002;-4.1899999999999995;-15.567857142857143;-12.750714285714285;-3.8;-3.76;-11.165;-3.7824999999999998;-1.19;-18.195;-4.015;-18.52357142857143;-3.25725;-8.44142857142857;-13.27;-1.9557142857142857;-7.71;-1.6085714285714285;-2.78;-6.855;-5.0649999999999995;-7.503571428571428;-4.470000000000001;-2.34;-24.15142857142857;-6.51;-4.75;-3.99;-1.7028571428571428;-14.5775;-2.325;-13.675;-15.41357142857143;-1.43;-2.375;-17.115000000000002;-2.253214285714286;-3.16;-5.08;-3.3499999999999996;-15.611428571428572;-9.275714285714287;-2.385;-11.649285714285714;-5.367857142857142;-1.4049999999999998;-11.297142857142859;-2.0199999999999996;-5.178571428571429;-8.49;-19.715;-1.7650000000000001;-2.4314285714285715;-5.79;-1.5978571428571429;-2.1328571428571426;-7.495;-4.295;-3.28;-1.53;-7.213571428571429;-1.5150000000000001;-3.7;-9.047857142857143;-18.735;-7.704285714285714;-1.36;-2.425;-2.995;-3.4014285714285712;-2.5;-9.530000000000001;-1.17;-2.0;-5.622142857142857;-10.29642857142857;-6.220000000000001;-4.0685714285714285;-2.6500000000000004;-0.54;-2.205;-2.79;-121.08500000000001;-84.145;-2.2199999999999998;-11.545714285714286;-18.75;-2.722142857142857;-2.2907142857142855;-1.12;-5.739285714285715;-4.825;-1.2564285714285712;-14.459999999999999;-25.449285714285715;-154.315;-3.13;-9.231428571428571
2006-04-02;-3.3200000000000003;-18.15;-22.85;-4.7542857142857144;-4.707142857142857;-5.675714285714286;-3.11;-2.14;-1.7900000000000003;-15.535714285714286;-0.94;-2.45;-5.73;-15.58;-6.409999999999999;-13.23;-18.93857142857143;-3.5;-4.5;-1.78;-3.1;-5.32;-11.917142857142858;-2.59;-2.275714285714286;-2.56;-3.6;-4.91;-4.7;-3.68;-0.8814285714285715;-11.42;-13.744285714285715;-1.96;-2.015;-1.7064285714285714;-17.447142857142858;-2.56;-1.32;-4.2;-15.302857142857144;-12.722857142857142;-3.73;-3.742857142857143;-11.28;-3.7649999999999997;-1.14;-18.15;-3.97;-18.321428571428573;-3.104;-8.35;-13.24;-1.7771428571428571;-7.71;-1.45;-2.8;-6.7942857142857145;-5.03;-7.422857142857143;-4.44;-2.34;-24.178571428571427;-6.4;-4.74;-3.98;-1.6714285714285713;-14.57;-2.26;-13.65;-15.274285714285714;-1.19;-2.26;-17.09;-2.249285714285714;-3.16;-5.08;-3.19;-15.56857142857143;-9.215714285714286;-2.34;-11.607142857142858;-4.952857142857143;-1.41;-11.255714285714287;-2.01;-5.122857142857143;-8.38;-19.7;-1.51;-2.3871428571428575;-5.73;-1.5357142857142858;-2.0828571428571427;-7.4071428571428575;-4.28;-3.28;-1.44;-7.191428571428572;-1.52;-3.67;-9.01;-18.7;-7.567142857142857;-1.35;-2.15;-2.91;-3.2857142857142856;-2.47;-9.314285714285715;-1.16;-1.95;-5.551428571428572;-10.271428571428572;-6.21;-4.04;-2.62;-0.45;-2.29;-2.7;-121.11;-84.16;-2.04;-11.494285714285713;-18.74;-2.6700000000000004;-2.2542857142857144;-1.08;-5.467142857142858;-4.75;-1.19;-14.459999999999999;-24.71857142857143;-154.42;-3.09;-9.139999999999999
2006-04-06;-3.37;-18.125;-22.845;-4.6207142857142856;-4.696428571428571;-5.633571428571429;-3.08;-2.125;-1.822857142857143;-15.247142857142858;-0.94;-2.48;-5.720000000000001;-15.515;-6.3707142857142856;-13.12857142857143;-18.86357142857143;-3.45;-4.325;-1.7650000000000001;-2.85;-4.9;-11.772857142857145;-2.59;-2.253571428571429;-2.5300000000000002;-3.55;-4.865;-4.46;-3.7;-0.8642857142857143;-11.445;-13.959285714285715;-1.94;-1.9975;-1.7003571428571427;-17.41857142857143;-2.5549999999999997;-1.37;-4.195;-15.117857142857144;-12.707142857142857;-3.65;-3.7457142857142856;-11.155;-3.7475;-1.1099999999999999;-18.15;-3.9850000000000003;-18.13857142857143;-3.1612857142857145;-8.255714285714285;-13.075;-1.6814285714285715;-7.5649999999999995;-1.5157142857142856;-2.79;-6.6414285714285715;-5.050000000000001;-7.069285714285714;-4.42;-2.29;-24.20285714285714;-6.41;-4.71;-3.9450000000000003;-1.6857142857142855;-14.485;-2.275;-13.625;-15.115714285714287;-1.275;-2.2199999999999998;-17.055;-2.245357142857143;-3.1550000000000002;-5.08;-3.115;-15.533571428571427;-9.147857142857143;-2.34;-11.57;-4.979285714285714;-1.375;-11.199285714285715;-1.645;-5.080714285714286;-8.27;-19.685000000000002;-1.58;-2.375;-5.73;-1.5221428571428572;-2.0428571428571427;-7.359999999999999;-4.245;-3.2199999999999998;-1.46;-7.119285714285715;-1.565;-3.535;-8.971428571428572;-18.662857142857142;-7.51;-1.3250000000000002;-2.025;-2.725;-3.3014285714285716;-2.46;-9.170714285714286;-1.2;-1.875;-5.467142857142857;-10.182857142857143;-6.215;-4.022142857142857;-2.64;-0.485;-2.3049999999999997;-2.675;-121.155;-84.13499999999999;-2.0949999999999998;-11.485714285714284;-18.725;-2.7021428571428574;-2.2271428571428573;-1.03;-5.635;-4.625;-1.1892857142857143;-14.459999999999999;-24.526428571428575;-154.45499999999998;-2.995;-9.045714285714284
2006-04-09;-3.42;-18.1;-22.84;-4.4871428571428575;-4.685714285714285;-5.591428571428572;-3.05;-2.11;-1.8557142857142856;-14.95857142857143;-0.94;-2.51;-5.71;-15.45;-6.331428571428572;-13.027142857142858;-18.78857142857143;-3.4;-4.15;-1.75;-2.6;-4.48;-11.62857142857143;-2.59;-2.2314285714285718;-2.5;-3.5;-4.82;-4.22;-3.72;-0.8471428571428571;-11.47;-14.174285714285714;-1.92;-1.98;-1.6942857142857142;-17.39;-2.55;-1.42;-4.19;-14.932857142857143;-12.691428571428572;-3.57;-3.7485714285714287;-11.03;-3.73;-1.08;-18.15;-4.0;-17.955714285714286;-3.218571428571429;-8.161428571428571;-12.91;-1.5857142857142856;-7.42;-1.5814285714285714;-2.78;-6.488571428571428;-5.07;-6.715714285714285;-4.4;-2.24;-24.22714285714286;-6.42;-4.68;-3.91;-1.7;-14.4;-2.29;-13.6;-14.957142857142857;-1.36;-2.18;-17.02;-2.241428571428571;-3.15;-5.08;-3.04;-15.498571428571427;-9.08;-2.34;-11.532857142857143;-5.005714285714285;-1.34;-11.142857142857142;-1.28;-5.038571428571429;-8.16;-19.67;-1.65;-2.3628571428571425;-5.73;-1.5085714285714287;-2.0028571428571427;-7.312857142857142;-4.21;-3.16;-1.48;-7.047142857142857;-1.61;-3.4;-8.932857142857143;-18.625714285714285;-7.452857142857143;-1.3;-1.9;-2.54;-3.317142857142857;-2.45;-9.027142857142858;-1.24;-1.8;-5.382857142857143;-10.094285714285714;-6.22;-4.0042857142857144;-2.66;-0.52;-2.32;-2.65;-121.2;-84.11;-2.15;-11.477142857142857;-18.71;-2.7342857142857144;-2.2;-0.98;-5.8028571428571425;-4.5;-1.1885714285714286;-14.459999999999999;-24.334285714285716;-154.49;-2.9;-8.95142857142857
2006-04-13;-3.47;-18.08;-22.845;-4.348571428571429;-4.676428571428572;-5.555714285714286;-2.99;-2.13;-1.8635714285714284;-15.001428571428573;-0.94;-2.55;-5.720000000000001;-15.535;-6.442857142857143;-12.96857142857143;-18.666428571428572;-3.3;-4.325;-1.825;-2.85;-7.390000000000001;-11.497142857142858;-2.59;-2.2407142857142857;-2.45;-3.54;-4.77;-4.085;-3.74;-0.8035714285714286;-11.46;-14.730714285714285;-1.885;-1.9649999999999999;-1.6882142857142857;-17.352857142857143;-2.535;-1.4449999999999998;-4.175000000000001;-14.908571428571427;-12.667857142857144;-3.55;-3.717142857142857;-10.370000000000001;-3.7125;-1.03;-18.134999999999998;-3.9;-17.87642857142857;-3.4450000000000003;-7.731428571428571;-12.825;-1.6992857142857143;-7.29;-1.5071428571428571;-2.79;-6.288571428571428;-5.025;-6.267142857142858;-4.35;-2.225;-24.245714285714286;-6.385;-4.64;-3.755;-1.6721428571428572;-14.33;-2.29;-13.575;-14.787857142857142;-1.145;-2.13;-16.975;-2.2375;-3.13;-5.075;-3.065;-15.464285714285715;-9.034285714285716;-2.27;-11.492142857142856;-4.908571428571428;-1.2850000000000001;-11.090714285714284;-1.185;-5.012142857142857;-8.045;-19.630000000000003;-1.6749999999999998;-2.2607142857142852;-5.75;-1.4649999999999999;-1.92;-7.283571428571428;-4.16;-3.1100000000000003;-1.53;-6.873571428571429;-1.665;-3.33;-8.89857142857143;-18.589285714285715;-7.319285714285714;-1.26;-1.99;-2.44;-3.29;-2.385;-8.88;-1.24;-1.8166666666666667;-5.289285714285715;-9.992142857142857;-6.244999999999999;-3.9935714285714288;-2.675;-0.625;-2.3449999999999998;-2.675;-121.21000000000001;-84.13499999999999;-2.71;-11.462857142857143;-18.71;-2.7164285714285716;-2.1728571428571426;-0.995;-5.985714285714286;-4.425;-1.2407142857142857;-14.459999999999999;-24.802142857142858;-154.53500000000003;-2.77;-8.52142857142857
