"code_bss";"date_debut";"date_fin";"nb_mesures_piezo";"code_dpt";"code_commune_insee";"nom_commune";"latitude";"longitude";"altitude_station";"profondeur_investigation";"codes_bdlisa";"libelle_pe";"codes_masse_eau_edl";"noms_masse_eau_edl";"fichier_piezo";"fichier_era5";"fichier_combined";"commentaire";"cluster_kmeans"
"03423X0056_100";"1954-11-08 00:00:00.000000";"2022-05-30 00:00:00.000000";3704;"68";"68113";Guémar;48.190195119;7.396715671;174.0;10.7;"221AA15";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"2"
"02706X0074_S77-20";"1983-01-15 00:00:00.000000";"2022-05-23 00:00:00.000000";5920;"88";"88082";Celles-sur-Plaine;48.439546314;6.93027724;325.68;17.6;"143AK07";G;CG105;Grès du Trias inférieur au nord de la faille de Vittel;1;0;0;;"6"
"04137X0009_C20";"1955-01-06 00:00:00.000000";"2022-04-26 00:00:00.000000";3464;"68";"68118";Habsheim;47.738318003;7.4408127;238.8;24.6;"221AC09";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"1"
"04133X0006_30";"1954-12-08 00:00:00.000000";"2022-02-15 00:00:00.000000";3350;"68";"68253";Ottmarsheim;47.796421962;7.459929209;229.6;26.0;"221AA17";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"1"
"03786X0074_130";"1974-09-28 00:00:00.000000";"2018-07-04 00:00:00.000000";7586;"68";"68228";Munwiller;47.936980891;7.325392901;206.0;13.44;"221AA13";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"6"
"04137X0022_S30";"1976-01-05 00:00:00.000000";"2021-08-31 00:00:00.000000";1694;"68";"68144";Hombourg;47.749677666;7.463290159;236.58;66.2;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"1"
"01987X0124_631-1";"1991-01-29 00:00:00.000000";"2022-02-22 00:00:00.000000";1474;"67";"67180";Haguenau;48.824267987;7.767255523;147.32;4.2;"221AA03";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"6"
"01377X0211_M01";"1999-03-11 00:00:00.000000";"2022-05-23 00:00:00.000000";4806;"54";"54371";Moineville;49.202426085;5.953281232;215.59;145.8;"139AP16";S;CG116;Réservoir minier du bassin ferrifère lorrain de Briey-Longwy;1;0;0;;"3"
"02343X0003_561";"1976-01-06 00:00:00.000000";"2022-05-16 00:00:00.000000";8031;"67";"67523";Weitbruch;48.774045182;7.802352562;147.75;9.6;"221AE01";l;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"5"
"03783X0046_71";"1955-01-04 00:00:00.000000";"2022-05-16 00:00:00.000000";11912;"68";"68136";Hettenschlag;48.005070728;7.457526314;197.4;9.2;"221AA17";l;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"1"
"02718X0039_271";"1961-01-10 00:00:00.000000";"2022-04-26 00:00:00.000000";3182;"67";"67504";Valff;48.422140248;7.515753267;156.55;15.8;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"3"
"01995X0103_338B1";"1985-11-12 00:00:00.000000";"2022-05-15 00:00:00.000000";7599;"67";"67180";Haguenau;48.853174394;7.956793605;132.91;6.7;"221AA03";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"3"
"01996X0059_352D1";"1985-11-12 00:00:00.000000";"2022-02-22 00:00:00.000000";1876;"67";"67025";Beinheim;48.869697317;8.07048976;115.01;7.3;"221AA17";F;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"3"
"03732X0002_F1";"1977-03-03 00:00:00.000000";"2022-05-19 00:00:00.000000";4779;"52";"52332";Val-de-Meuse;48.006281953;5.500350919;354.82;63.5;"143AB03";G;B1G107;Domaine du Lias et du Keuper du plateau lorrain versant Meuse;1;0;0;;"8"
"03745X0021_P1";"1976-04-15 00:00:00.000000";"2022-05-20 00:00:00.000000";5452;"52";"52060";Bourbonne-les-Bains;47.949818854;5.759766305;260.0;3.12;"143AF01";C;DG202;Calcaires du Muschelkak supérieur et grès rhétiens dans BV Saône;1;0;0;;"3"
"01918X0006_P1";"1974-03-22 00:00:00.000000";"2022-05-23 00:00:00.000000";4828;"55";"55032";Baudrémont;48.839693669;5.387452457;277.95;14.0;"135AA51";C;HG305;Calcaires kimméridgiens-oxfordiens karstiques nord-est du district (entre Ornain et limite de district);1;0;0;;"3"
"02296X0038_P1";"1979-03-12 00:00:00.000000";"2022-05-23 00:00:00.000000";4733;"54";"54167";Dommartin-lès-Toul;48.669868595;5.907815814;206.05;8.3;"952AC17";A;CG114;Alluvions de la Meurthe, de la Moselle et de leurs affluents;1;0;0;;"3"
"02723X0900_245R1";"1988-06-16 00:00:00.000000";"2022-02-22 00:00:00.000000";1682;"67";"67482";Strasbourg;48.583983073;7.748164097;141.51;10.4;"221AA19";P;CG101;Nappe d’Alsace, Pliocène de Haguenau et Oligocène;1;0;0;;"7"
"02615X0020_S1";"1969-01-13 00:00:00.000000";"2022-05-20 00:00:00.000000";6291;"10";"10341";Saint-Hilaire-sous-Romilly;48.490061;3.619649;146.0;33.15;"121AO01";C;HG209;Craie du Senonais et Pays d'Othe;1;0;0;;"3"
"02267X0030_S1";"1967-01-20 00:00:00.000000";"2022-05-20 00:00:00.000000";9382;"52";"52235";Hallignicourt;48.654429327;4.876212285;135.59;2.3;"926AC07";A;HG005;Alluvions du Perthois;1;0;0;;"3"
"01868X0030_S1";"1969-01-13 00:00:00.000000";"2022-05-20 00:00:00.000000";9829;"51";"51359";Mécringes;48.857026;3.523765;191.7;10.07;"113BA01";C;HG103;Tertiaire - Champigny - en Brie et Soissonnais;1;0;0;;"5"
"01871X0031_S1";"1969-01-13 00:00:00.000000";"2022-05-18 00:00:00.000000";10806;"51";"51304";Janvilliers;48.89443294;3.647269533;221.2;25.0;"113BA01";C;HG103;Tertiaire - Champigny - en Brie et Soissonnais;1;0;0;;"5"
"01894X0002_S1";"1969-01-15 00:00:00.000000";"2022-05-13 00:00:00.000000";8611;"51";"51589";Vanault-le-Châtel;48.870083;4.665279;165.8;29.7;"121AN30";C;HG208;Craie de Champagne sud et centre;1;0;0;;"3"
"01885X0002_S1";"1969-01-14 00:00:00.000000";"2022-05-19 00:00:00.000000";6487;"51";"51158";Val-des-Marais;48.811336;3.990276;142.8;10.4;"121AN01";C;HG208;Craie de Champagne sud et centre;1;0;0;;"5"
"01347X0002_S1";"1969-01-15 00:00:00.000000";"2022-04-25 00:00:00.000000";2378;"51";"51620";Vienne-la-Ville;49.168089034;4.856924451;129.0;8.0;"123CA01";A;HG214;Albien-Néocomien libre entre Ornain et limite de district;1;0;0;;"3"
