date_mesure;02211X0023_CHE101;02582X0268_P11;02582X0208_F1;01541X0038_F1;01825X0091_P1;01258X0020_S1;01516X0021_S1;01812X0002_S1;02203X0002_S1;01853X0002_S1;02206X0022_S1;02943X0013_S1;01551X1013_S1;01516X0004_S1;02931X0008_S1;02603X0009_S1;02566X0019_S1;01834A0153_PZ1;02583X0065_P12;01837A0096_F2;02182X0004_P2;02594X0094_P13;02596X0045_P14;02606X0112_G5;02215X0049_P5;02218X0033_P6;02584X0024_FCH7;01522X0069_PZ2008;02184X0099_F48;02207X0069_P8;02208X0036_FCH9;02578X0043_F;02936X5004_F;01531X0047_F;02173X0008_F;01534X0049_F;02565X0019_P
2010-06-10;-63.39142857142857;-29.59857142857143;-46.75571428571429;-39.19;-8.379999999999999;-18.75;-21.252857142857145;-12.34142857142857;-43.175714285714285;-4.162857142857143;-43.61857142857143;-18.788571428571426;-31.25857142857143;-21.140000000000004;-41.21714285714285;-25.12857142857143;-23.972857142857144;-8.651428571428571;-48.25;-3.59;-38.54714285714285;-31.237142857142857;-26.807142857142857;-2.0742857142857143;-32.57285714285714;-16.715714285714288;-43.221428571428575;-15.275714285714287;-39.08;-44.52571428571429;-45.99142857142857;-30.665714285714284;-47.667142857142856;14.58;-19.725;-51.142857142857146;-23.07857142857143
2010-06-17;-63.38857142857143;-29.63714285714286;-46.75857142857143;-39.17428571428571;-8.365714285714287;-18.87857142857143;-21.231428571428573;-12.397142857142857;-43.214285714285715;-4.317142857142857;-43.67;-18.788571428571426;-31.201428571428572;-21.140000000000004;-41.2675;-25.111428571428572;-23.984285714285715;-8.514285714285714;-48.300000000000004;-3.697142857142857;-38.582857142857144;-31.252857142857142;-26.907142857142855;-2.0885714285714285;-32.61142857142857;-16.834285714285716;-43.24428571428571;-15.388571428571428;-39.07;-44.598571428571425;-45.951428571428565;-30.607142857142858;-47.68714285714286;14.48;-19.72714285714286;-51.18142857142857;-23.052857142857142
2010-06-24;-63.38;-29.665714285714284;-46.89714285714285;-39.244285714285716;-8.368571428571428;-19.060000000000002;-21.225714285714282;-12.465714285714286;-43.26;-4.430000000000001;-43.699999999999996;-18.79;-31.208571428571428;-21.140000000000004;-41.3;-25.1;-24.09142857142857;-8.604285714285714;-48.30428571428571;-3.7914285714285714;-38.555;-31.25;-26.948571428571427;-2.1114285714285717;-32.642857142857146;-16.892857142857142;-43.24428571428571;-15.554285714285713;-39.059999999999995;-44.637142857142855;-45.917142857142856;-30.635714285714283;-47.707142857142856;14.331428571428571;-19.731428571428573;-51.17285714285714;-23.212857142857143
2010-07-01;-63.37;-29.704285714285714;-46.902857142857144;-39.278571428571425;-8.382000000000001;-19.09857142857143;-21.205714285714286;-12.534285714285716;-43.21142857142858;-4.507142857142857;-43.76571428571429;-18.792857142857144;-31.19;-21.140000000000004;-41.27428571428572;-25.09142857142857;-24.21142857142857;-8.645714285714286;-48.35142857142858;-3.8771428571428572;-38.56142857142857;-31.25714285714286;-27.0;-2.1242857142857146;-32.690000000000005;-16.95714285714286;-43.27571428571429;-15.81;-39.05;-44.69857142857143;-45.785714285714285;-30.695714285714285;-47.730000000000004;14.28;-19.732857142857142;-51.17285714285714;-23.358571428571427
2010-07-08;-63.36142857142857;-29.675714285714285;-46.917142857142856;-39.25857142857143;-8.367142857142856;-19.162857142857142;-21.18857142857143;-12.598571428571429;-43.13142857142857;-4.5600000000000005;-43.78142857142858;-18.791428571428572;-31.245714285714286;-21.140000000000004;-41.275;-25.085714285714285;-24.25142857142857;-8.627142857142857;-48.33857142857143;-3.86;-38.52285714285714;-31.24857142857143;-26.98857142857143;-2.1228571428571428;-32.714285714285715;-16.98857142857143;-43.26142857142857;-16.080000000000002;-39.06;-44.74285714285714;-45.784285714285716;-30.645714285714288;-47.75285714285714;14.207142857142857;-19.732857142857142;-51.131428571428565;-23.41714285714286
2010-07-15;-63.35285714285715;-29.674285714285713;-46.87571428571429;-39.25;-8.370000000000001;-19.302857142857142;-21.178571428571427;-12.665714285714285;-42.892857142857146;-4.541428571428571;-43.82142857142857;-18.798571428571428;-31.212857142857143;-21.140000000000004;-41.23166666666666;-25.09;-24.18857142857143;-8.384285714285713;-48.36142857142857;-3.742857142857143;-38.548571428571435;-31.264285714285712;-27.025714285714287;-2.111428571428571;-32.752857142857145;-17.06714285714286;-43.33428571428571;-16.335714285714285;-39.07;-44.771428571428565;-45.778571428571425;-30.635714285714283;-47.769999999999996;14.284285714285714;-19.74142857142857;-51.138571428571424;-23.345714285714283
2010-07-22;-63.34285714285715;-29.687142857142856;-47.019999999999996;-39.23571428571428;-8.387142857142857;-19.451428571428572;-21.174285714285713;-12.735714285714286;-43.06;-4.619999999999999;-43.85857142857143;-18.801428571428573;-31.198571428571427;-21.140000000000004;-41.30428571428571;-25.10571428571429;-24.307142857142857;-8.194285714285714;-48.39;-3.7714285714285714;-38.56;-31.287142857142857;-27.085714285714285;-2.1242857142857146;-32.787142857142854;-17.144285714285715;-43.287142857142854;-16.571428571428573;-39.08;-44.82142857142857;-45.71857142857142;-30.645714285714288;-47.785714285714285;14.414285714285715;-19.737142857142857;-51.14142857142857;-23.361428571428572
2010-07-29;-63.33428571428572;-29.717142857142857;-47.05714285714286;-39.269999999999996;-8.39;-19.601428571428574;-21.192857142857143;-12.790000000000001;-43.16571428571428;-4.660000000000001;-43.902857142857144;-18.8;-31.232857142857142;-21.147142857142857;-41.31285714285714;-25.124285714285715;-24.388571428571428;-8.27142857142857;-48.40571428571428;-3.742857142857143;-38.544285714285714;-31.291428571428572;-27.107142857142858;-2.1283333333333334;-32.815714285714286;-17.178571428571427;-43.285714285714285;-16.815714285714286;-39.09;-44.88142857142857;-45.64857142857143;-30.704285714285714;-47.79714285714285;14.69;-19.744285714285713;-51.12285714285714;-23.542857142857144
2010-08-05;-63.33571428571429;-29.75142857142857;-47.034285714285716;-39.25428571428571;-8.402857142857142;-19.725714285714286;-21.22142857142857;-12.835714285714285;-43.292857142857144;-4.68;-43.98857142857143;-18.805714285714284;-31.21142857142857;-21.13;-41.347142857142856;-25.154285714285713;-24.43142857142857;-8.444285714285714;-48.457142857142856;-3.77;-38.55428571428571;-31.31;-27.14428571428571;-2.1414285714285715;-32.855714285714285;-17.215714285714288;-43.332857142857144;-17.125714285714285;-39.13;-44.955714285714286;-45.565714285714286;-30.762857142857143;-47.81571428571429;14.225;-19.75142857142857;-51.11857142857143;-23.63
2010-08-12;-63.325714285714284;-29.725714285714282;-46.955714285714286;-39.23285714285714;-8.40857142857143;-19.81142857142857;-21.24285714285714;-12.865714285714287;-42.970000000000006;-4.452857142857143;-44.00428571428571;-18.80857142857143;-31.231428571428573;-21.092857142857145;-41.29142857142857;-25.184285714285718;-24.435714285714287;-8.561428571428571;-48.45285714285715;-3.6999999999999997;-38.54714285714285;-31.32;-27.15142857142857;-2.11;-32.88;-17.10571428571429;-43.357142857142854;-17.414285714285715;-39.17;-44.978571428571435;-45.534285714285716;-30.735714285714288;-47.832857142857144;14.421428571428573;-19.752857142857145;-51.11;-23.625
