departement;code_region
1;ARA
2;HDF
3;ARA
4;PAC
5;PAC
6;PAC
7;ARA
8;GES
9;OCC
10;GES
11;OCC
12;OCC
13;PAC
14;NOR
15;ARA
16;NAQ
17;NAQ
18;CVL
19;NAQ
20;COR
21;BFC
22;BRE
23;NAQ
24;NAQ
25;BFC
26;ARA
27;NOR
28;CVL
29;BRE
30;OCC
31;OCC
32;OCC
33;NAQ
34;OCC
35;BRE
36;CVL
37;CVL
38;ARA
39;BFC
40;NAQ
41;CVL
42;ARA
43;ARA
44;PDL
45;CVL
46;OCC
47;NAQ
48;OCC
49;PDL
50;NOR
51;GES
52;GES
53;PDL
54;GES
55;GES
56;BRE
57;GES
58;BFC
59;HDF
60;HDF
61;NOR
62;HDF
63;ARA
64;NAQ
65;OCC
66;OCC
67;GES
68;GES
69;ARA
70;BFC
71;BFC
72;PDL
73;ARA
74;ARA
75;IDF
76;NOR
77;IDF
78;IDF
79;NAQ
80;HDF
81;OCC
82;OCC
83;PAC
84;PAC
85;PDL
86;NAQ
87;NAQ
88;GES
89;BFC
90;BFC
91;IDF
92;IDF
93;IDF
94;IDF
95;IDF
