date_mesure;06216X0228_P30-10;06932X0178_P10;06505X0093_PZ10;05986X0103_P16-20;07662X0277_45B-01;06932X0179_P11;05986X0106_P16-21;08915X0028_PMA-B1;08422X0190_F1;06754X0077_F1;08664X0069_F1;06932X0170_P1;07421X0080_P1;08153X0052_P1;07916X0008_P1;07657X0018_P1;08187X0238_P1;07955X0099_P1;06995C0208_S1;08184X0084_PZ1;07662X0279_P45B02;05991X0043_PZ32;06993X0226_MEXI_2;06533X0070_F2;08422X0191_F2;08424X0006_F2;06518X0026_P2;07174X0179_P2;07662X0278_45B-03;06988X0246_WL03;08413X0091_F3;07475X0008_F3;07464X0005_SM3;05986X0104_P16-14;06931X0054_P14;07266X0052_PS4;06301X0019_P5;06993X0087_F6;06941X0248_P40-07;06931X0052_N27;06941X0249_P40-08;08435X0010_NO8;06942X0163_P40-09;05761X1027_FRESSA;07975X0081_PGB;06288X0096_SB;06298X0035_F210C;07208X0197_F1C;07164X0043_ROC;06505X0080_FORC;07256X0095_CHAMBE;08668X0029_SCE;06696X0024_FORAGE;06306X0042_BIOGE;05761X1025_GEORGE;07238X0110_F;07488X0011_F;06988C0281_F;08353X0052_F;07237X0113_F;07707X0144_F;07714X0054_F;07466X0054_F;07204X0105_F;07635X0035_F;07704X0007_F;08915X1007_F;06461X0018_F;06742X0001_VILLEN;08184X0066_DRAIN;05992X1084_AUBIN;08188X0045_BERN;06741X0046_F1PLIO;09152X0012_P;08191X0022_P;07953X0104_P;06792X0057_P;06211X0042_P1BOSQ;06995C0271_S;07224X0102_S;07223C0113_S;07221D0023_S;09153X0024_S;07224X0106_S;07476X0029_S;07944X0049_S;07973X0011_RS15S;05992X1083_PRAS;08144X0010_PUITS;06455X0041_PUITS;06198X0023_PUITS;07494X0026_CRUET;06226X0001_PT;06211X0041_P3CAPT;05761X1026_LEPORT;06923X0004_CALV;07231C0252_BUCLAY;06537X0103_VEIGY;07965X0081_HY;09165X0003_HY;06512X0037_STREMY;08195X0018_26081Z;08908X4000_PZ;06991X0220_PZ;06191X0163_PZ;06744X0025_PZ;07172X0116_PZ;06261X0007_PZ;08423X0067_PZ;06503X0028_PZ;07203X0168_PZ;06256X0188_PZ
2009-11-29;-4.642222222222222;-38.70285714285715;-7.258571428571429;-4.775714285714286;-3.2857142857142856;-37.99857142857143;-2.624285714285714;-37.88142857142857;-1.7671428571428573;-11.327142857142858;-57.77285714285715;-35.457142857142856;-3.9914285714285715;-69.94571428571429;-22.26571428571429;-1.68;-8.06;-84.62714285714286;-37.21;-22.747142857142855;-2.7985714285714285;-6.7299999999999995;-13.02;-9.958571428571428;-6.237142857142857;-3.882857142857143;-22.754285714285714;-5.54;-3.5228571428571427;-4.45;-15.31;-22.367142857142856;-21.345714285714283;-3.1671428571428573;-29.509999999999998;-4.718571428571429;-13.930000000000001;-8.2;-3.73;-110.4542857142857;-3.577142857142857;-2.2742857142857145;-5.238571428571428;-3.2914285714285714;-1.5042857142857142;-40.46714285714285;-567.2657142857144;-11.348571428571429;-13.145714285714286;-11.604285714285714;-3.5;-1.22;-15.132857142857144;-59.59428571428572;-5.242857142857143;-6.0280000000000005;-4.591428571428572;-16.687142857142856;-13.175714285714287;-1.3228571428571427;-6.5128571428571425;-39.785714285714285;-13.209999999999999;-3.5728571428571425;-4.297142857142857;-7.160000000000001;-7.625714285714286;-21.66857142857143;-28.687142857142856;-1.5;-6.577142857142857;-4.515714285714286;-3.1485714285714286;-4.484285714285714;-13.852857142857143;-7.18;-479.7814285714286;-2.8028571428571425;-28.737142857142857;-25.615714285714287;-7.055714285714286;-28.021428571428572;-2.8757142857142854;-22.115714285714287;-30.87142857142857;-7.438571428571429;-3.63;-3.04;-3.6685714285714286;-3.36;-3.04;-3.434285714285714;-3.0585714285714287;-3.93;-8.94;-2.4771428571428573;-33.26142857142857;-54.978571428571435;-1.35;-0.9971428571428572;-4.094285714285714;-5.388571428571429;-2.53;-181.68571428571428;-5.908571428571428;-269.06857142857143;-27.740000000000002;-184.55857142857144;-4.201428571428571;-177.78571428571428;-4.72;-5.105714285714286
2009-12-06;-4.545277777777778;-38.74571428571429;-6.997142857142857;-4.68;-3.2857142857142856;-38.035714285714285;-2.6385714285714283;-37.83;-1.5942857142857143;-11.004285714285714;-57.528571428571425;-35.49857142857143;-3.954285714285714;-69.99857142857142;-22.277142857142856;-1.7099999999999997;-8.047142857142857;-84.57000000000001;-37.20142857142857;-22.782857142857143;-2.8057142857142856;-6.731428571428572;-12.787142857142857;-9.917142857142858;-5.965714285714285;-3.8057142857142856;-22.81714285714286;-5.518571428571429;-3.5285714285714285;-4.252857142857143;-14.6;-22.412857142857142;-21.382857142857144;-3.16;-29.524285714285718;-4.665714285714286;-13.792857142857143;-8.167142857142858;-3.7214285714285715;-110.44857142857143;-3.587142857142857;-2.2785714285714285;-5.245;-3.2728571428571427;-1.5714285714285714;-40.56714285714286;-567.3228571428572;-11.352857142857143;-13.10142857142857;-11.462857142857143;-3.3242857142857143;-1.22;-15.172857142857142;-59.95285714285715;-5.1571428571428575;-5.777142857142857;-4.242857142857143;-16.68857142857143;-11.975714285714286;-1.0371428571428571;-6.482857142857143;-39.885714285714286;-13.197142857142856;-3.564285714285714;-4.1971428571428575;-6.815714285714286;-7.581428571428572;-21.73857142857143;-28.737142857142857;-1.5014285714285713;-6.485714285714286;-4.4871428571428575;-2.7857142857142856;-3.8842857142857143;-13.87857142857143;-7.171428571428572;-479.6685714285714;-2.787142857142857;-28.672857142857143;-25.62142857142857;-7.0442857142857145;-28.077142857142857;-2.3528571428571428;-22.12;-30.934285714285718;-7.428571428571429;-3.575714285714286;-3.0485714285714285;-3.7685714285714282;-3.36;-3.032857142857143;-3.39;-2.9914285714285715;-3.9;-8.921428571428573;-1.9685714285714284;-33.26285714285714;-54.965714285714284;-1.2742857142857142;-0.47714285714285715;-4.051428571428572;-5.38;-2.4514285714285715;-181.70714285714286;-5.884285714285714;-269.03714285714284;-27.77285714285714;-184.6;-4.11;-177.88857142857142;-4.721428571428571;-4.83
2009-12-13;-4.448333333333333;-38.75428571428571;-6.909999999999999;-4.5685714285714285;-3.27;-38.04;-2.641428571428571;-37.87;-1.687142857142857;-10.741428571428571;-56.29571428571428;-35.537142857142854;-3.9;-70.03;-22.322857142857142;-1.687142857142857;-7.978571428571429;-84.60714285714286;-37.18285714285714;-22.81142857142857;-2.801428571428571;-6.72;-12.607142857142858;-9.887142857142857;-5.868571428571428;-3.7485714285714287;-22.877142857142854;-5.412857142857143;-3.5271428571428567;-4.098571428571429;-14.09142857142857;-22.46857142857143;-21.41714285714286;-3.1257142857142854;-29.54;-4.53;-13.43142857142857;-8.135714285714286;-3.665714285714286;-110.48571428571428;-3.587142857142857;-2.2899999999999996;-5.1875;-3.242857142857143;-1.552857142857143;-40.65428571428571;-567.7371428571429;-11.364285714285714;-13.144285714285715;-11.388571428571428;-3.1685714285714286;-1.22;-15.212857142857144;-57.878;-5.051428571428572;-5.647142857142858;-3.814285714285714;-16.71;-9.879999999999999;-1.0942857142857143;-6.5;-39.980000000000004;-13.209999999999999;-3.5799999999999996;-4.118571428571429;-6.908571428571428;-7.404285714285714;-21.787142857142857;-28.75857142857143;-1.51;-6.3428571428571425;-4.457142857142857;-2.742857142857143;-3.64;-13.90857142857143;-7.178571428571429;-479.91285714285715;-2.757142857142857;-28.604285714285712;-25.631428571428568;-7.055714285714286;-28.072857142857142;-2.652857142857143;-22.12;-30.995714285714286;-7.422857142857143;-3.52;-2.89;-3.8814285714285717;-3.38;-3.0742857142857143;-3.212857142857143;-2.698571428571429;-3.858571428571429;-8.864285714285714;-1.72;-33.28285714285715;-54.957142857142856;-1.2385714285714287;-0.6357142857142858;-4.057142857142857;-5.39;-2.4528571428571433;-181.76857142857145;-5.8914285714285715;-269.16285714285715;-27.807142857142857;-184.61428571428573;-3.9842857142857144;-177.89142857142858;-4.7299999999999995;-4.822857142857143
2009-12-20;-4.473333333333334;-38.78285714285715;-7.031428571428571;-4.562857142857142;-3.292857142857143;-38.075714285714284;-2.641428571428572;-37.81428571428571;-1.7871428571428571;-10.70142857142857;-55.36142857142857;-35.575714285714284;-3.924285714285715;-70.05285714285715;-22.307142857142857;-1.6442857142857144;-7.902857142857143;-84.62;-37.16142857142857;-22.84;-2.801428571428571;-6.7;-12.692857142857141;-9.875714285714285;-5.881428571428572;-3.781428571428571;-22.927142857142858;-5.492857142857143;-3.5185714285714282;-4.201428571428571;-13.467142857142857;-22.520000000000003;-21.452857142857145;-3.067142857142857;-29.562857142857144;-4.545714285714285;-13.01;-8.105714285714285;-3.6814285714285715;-110.46285714285715;-3.5814285714285714;-2.18;-5.13;-3.1685714285714286;-1.5657142857142858;-40.71999999999999;-567.8114285714286;-11.355714285714285;-13.067142857142857;-11.385714285714286;-3.3057142857142856;-1.22;-15.257142857142856;-58.6;-5.002857142857144;-5.640000000000001;-3.8485714285714283;-16.701428571428572;-9.59;-1.2099999999999997;-6.4871428571428575;-40.07;-13.225714285714286;-3.5214285714285714;-4.0928571428571425;-7.051428571428572;-7.2628571428571425;-21.948571428571427;-28.777142857142856;-1.51;-6.477142857142858;-4.44;-3.027142857142857;-3.7857142857142856;-13.924285714285714;-7.158571428571428;-479.6657142857143;-2.73;-28.532857142857143;-25.642857142857142;-7.075714285714286;-28.074285714285715;-2.75;-22.115714285714287;-31.05;-7.4;-3.524285714285714;-2.8857142857142857;-3.9499999999999997;-3.3428571428571425;-3.032857142857143;-3.262857142857143;-2.644285714285714;-3.8299999999999996;-8.795714285714286;-2.165714285714286;-33.3;-54.98285714285714;-1.3214285714285714;-0.8257142857142857;-4.0600000000000005;-5.39;-2.492857142857143;-181.81428571428572;-5.801428571428572;-269.3;-27.837142857142855;-184.6314285714286;-4.0;-177.86285714285714;-4.7299999999999995;-4.985714285714286
2009-12-27;-4.481388888888889;-38.815714285714286;-6.894285714285715;-4.577142857142857;-3.23;-38.104285714285716;-2.641428571428571;-37.77285714285715;-1.487142857142857;-10.688571428571427;-54.63714285714286;-35.614285714285714;-3.9114285714285715;-70.11714285714285;-22.315714285714286;-1.2142857142857142;-7.845714285714286;-84.6;-37.142857142857146;-22.87;-2.8085714285714287;-6.69;-12.555714285714286;-9.86;-5.802857142857143;-3.7085714285714286;-22.97;-5.425714285714285;-3.5271428571428567;-4.275714285714286;-12.89857142857143;-22.564285714285713;-21.49142857142857;-3.052857142857143;-29.562857142857144;-4.515714285714286;-12.958571428571428;-8.06857142857143;-3.6814285714285715;-110.44571428571429;-3.5914285714285716;-2.1157142857142857;-5.13;-3.1314285714285717;-1.6271428571428572;-40.92714285714286;-567.9785714285714;-11.344285714285714;-13.058571428571428;-11.379999999999999;-3.2885714285714287;-1.22;-15.297142857142857;-58.07285714285714;-5.001428571428571;-5.581428571428572;-3.6914285714285713;-16.687142857142856;-9.638571428571428;-1.0671428571428572;-6.461428571428572;-40.167142857142856;-13.248571428571427;-3.4914285714285715;-4.061428571428571;-7.144285714285714;-6.967142857142858;-22.204285714285714;-28.705000000000002;-1.51;-6.315714285714286;-4.395714285714286;-2.6685714285714286;-3.394285714285714;-13.94;-7.137142857142857;-479.8614285714286;-2.73;-28.478571428571428;-25.662857142857145;-7.089999999999999;-28.06857142857143;-1.7771428571428571;-22.12142857142857;-31.101428571428574;-7.385714285714286;-3.4657142857142857;-2.88;-3.902857142857143;-3.314285714285714;-3.007142857142857;-3.2285714285714286;-2.672857142857143;-3.8485714285714283;-8.767142857142856;-2.0542857142857143;-33.31857142857143;-55.02428571428572;-1.2114285714285715;-0.43142857142857144;-4.032857142857142;-5.341428571428572;-2.3285714285714287;-181.82999999999998;-5.784285714285715;-269.38142857142856;-27.854285714285716;-184.65571428571428;-3.8728571428571428;-177.89714285714285;-4.7299999999999995;-4.692857142857143
2010-01-03;-4.489444444444445;-38.744285714285716;-6.2057142857142855;-4.2371428571428575;-3.117142857142857;-38.01714285714286;-2.557142857142857;-37.728571428571435;-1.4814285714285713;-10.468571428571428;-51.83857142857143;-35.651428571428575;-3.8000000000000003;-70.09;-22.285714285714285;-1.0271428571428571;-7.718571428571429;-84.67142857142858;-37.13;-22.88714285714286;-2.7600000000000002;-6.672857142857143;-12.361428571428572;-9.804285714285713;-5.471428571428571;-3.4985714285714287;-23.02285714285714;-5.218571428571429;-3.5042857142857144;-4.098571428571429;-12.495714285714286;-22.59714285714286;-21.527142857142856;-2.9828571428571427;-29.50714285714286;-4.257142857142857;-12.514285714285714;-8.032857142857143;-3.5371428571428574;-110.48428571428572;-3.564285714285714;-2.0828571428571427;-5.13;-3.0214285714285714;-1.6228571428571428;-41.03857142857142;-568.9357142857143;-11.361428571428572;-13.06857142857143;-11.002857142857142;-3.2542857142857144;-1.22;-15.337142857142856;-56.76428571428572;-4.632857142857143;-5.39;-3.3542857142857145;-16.704285714285714;-8.415714285714285;-1.0457142857142858;-6.471428571428571;-40.25428571428571;-13.24;-3.5285714285714285;-3.992857142857143;-7.174285714285714;-6.488571428571428;-22.454285714285714;-28.7825;-1.51;-6.014285714285714;-4.285714285714286;-1.7185714285714286;-2.9585714285714286;-13.918571428571429;-7.144285714285715;-480.0442857142857;-2.65;-28.434285714285718;-25.674285714285713;-7.1;-28.037142857142857;-2.13;-22.122857142857146;-31.164285714285715;-7.368571428571428;-3.3228571428571425;-2.8728571428571428;-3.595714285714286;-3.2114285714285713;-2.891428571428571;-2.991428571428571;-2.414285714285714;-3.7314285714285718;-8.68;-1.6585714285714286;-33.33571428571428;-55.021428571428565;-1.2385714285714287;-0.5871428571428572;-3.987142857142857;-5.332857142857143;-2.144285714285714;-181.87714285714284;-5.527142857142857;-269.4557142857143;-27.83857142857143;-184.70285714285714;-3.4771428571428573;-177.91;-4.7299999999999995;-3.9285714285714284
2010-01-10;-4.4975000000000005;-38.644285714285715;-6.161428571428572;-4.0442857142857145;-3.1128571428571425;-37.93142857142857;-2.3214285714285716;-37.66142857142857;-1.6171428571428572;-10.348571428571429;-49.934285714285714;-35.67857142857143;-3.7985714285714285;-69.99285714285715;-22.06;-1.1757142857142857;-7.558571428571428;-84.68857142857142;-37.12;-22.9;-2.7228571428571433;-6.62;-12.342857142857143;-9.804285714285713;-5.352857142857142;-3.412857142857143;-23.065714285714286;-5.248571428571429;-3.4657142857142857;-3.9899999999999998;-12.075714285714286;-22.59857142857143;-21.562857142857144;-2.79;-29.47714285714286;-4.148571428571429;-12.404285714285715;-7.997142857142857;-3.492857142857143;-110.47142857142856;-3.505714285714286;-2.0;-5.13;-2.858571428571429;-1.6642857142857144;-41.082857142857144;-569.5828571428572;-11.374285714285715;-13.054285714285713;-10.828571428571427;-3.442857142857143;-1.2128571428571429;-15.37142857142857;-58.02571428571429;-4.4628571428571435;-5.271428571428571;-3.1357142857142857;-16.722857142857144;-6.86;-1.0914285714285714;-6.464285714285714;-40.332857142857144;-13.247142857142858;-3.5085714285714285;-3.847142857142857;-7.234285714285714;-6.231428571428571;-22.52;-28.86;-1.5085714285714287;-6.152857142857143;-4.162857142857143;-1.912857142857143;-2.9657142857142857;-13.70857142857143;-7.104285714285714;-479.6671428571429;-2.4814285714285718;-28.38714285714286;-25.69142857142857;-7.107142857142857;-28.03142857142857;-2.317142857142857;-22.131428571428568;-31.21;-7.354285714285714;-3.3214285714285716;-2.837142857142857;-3.255714285714286;-3.0485714285714285;-2.751428571428572;-2.962857142857143;-2.4385714285714286;-3.565714285714286;-8.515714285714285;-1.7228571428571429;-33.357142857142854;-55.00428571428571;-1.31;-0.6128571428571429;-3.9971428571428573;-5.345714285714286;-2.138571428571429;-181.93428571428572;-5.4399999999999995;-269.4814285714286;-27.798571428571428;-184.72571428571428;-3.4314285714285715;-177.82714285714286;-4.731428571428572;-3.857142857142857
2010-01-17;-4.5055555555555555;-38.714285714285715;-6.680000000000001;-4.162857142857143;-3.1685714285714286;-38.00142857142857;-2.3;-37.6575;-1.5442857142857143;-10.40857142857143;-49.75857142857143;-35.69285714285714;-3.87;-69.97285714285714;-22.07;-1.1228571428571428;-7.4628571428571435;-84.73714285714286;-37.107142857142854;-22.91;-2.6914285714285713;-6.565714285714286;-12.531428571428572;-9.872857142857143;-5.267142857142857;-3.4214285714285713;-23.10571428571429;-5.372857142857143;-3.391428571428571;-4.215714285714285;-11.752857142857142;-22.502857142857145;-21.592857142857145;-2.718571428571429;-29.464285714285715;-4.24;-12.75;-7.9471428571428575;-3.5542857142857143;-110.50857142857141;-3.4785714285714286;-1.9842857142857144;-5.13;-2.8200000000000003;-1.5742857142857143;-41.24285714285714;-569.8128571428572;-11.347142857142858;-13.132857142857144;-11.064285714285715;-3.5714285714285716;-1.2099999999999997;-15.404285714285715;-58.36571428571428;-4.582857142857143;-5.1971428571428575;-3.1542857142857144;-16.734285714285715;-6.33;-0.9642857142857143;-6.452857142857143;-40.39;-13.251428571428573;-3.4699999999999998;-3.7800000000000002;-7.4628571428571435;-6.1414285714285715;-21.099999999999998;-28.84142857142857;-1.5;-6.192857142857143;-4.0528571428571425;-2.7542857142857144;-2.9842857142857144;-13.35;-7.085714285714286;-479.42428571428576;-2.4514285714285715;-28.352857142857143;-25.705714285714286;-7.058571428571428;-28.062857142857144;-2.152857142857143;-22.140000000000004;-31.25857142857143;-7.359999999999999;-3.3814285714285717;-2.8085714285714287;-3.301428571428571;-2.9442857142857144;-2.722857142857143;-3.177142857142857;-2.5028571428571427;-3.597142857142857;-8.432857142857143;-1.7542857142857142;-33.37714285714286;-55.04;-1.3371428571428574;-0.6057142857142858;-4.057142857142857;-5.297142857142857;-2.16;-181.96285714285713;-5.458571428571429;-269.5;-27.75;-184.75428571428571;-3.457142857142857;-177.98;-4.742857142857143;-4.252857142857143
2010-01-24;-4.513611111111111;-38.449999999999996;-6.465714285714285;-3.8200000000000003;-3.097142857142857;-37.71714285714285;-2.1742857142857144;-37.48666666666667;-1.5842857142857143;-10.217142857142857;-47.58428571428572;-35.72;-3.8485714285714288;-69.94428571428571;-21.812857142857144;-0.9500000000000001;-7.291428571428571;-84.77;-37.09571428571429;-22.919999999999998;-2.6142857142857143;-6.53;-12.287142857142857;-9.824285714285717;-5.114285714285714;-3.335714285714286;-23.12857142857143;-5.274285714285715;-3.255714285714286;-4.175714285714286;-11.438571428571427;-21.972857142857144;-21.604285714285716;-2.662857142857143;-29.28857142857143;-4.21;-13.074285714285713;-7.847142857142857;-3.475714285714286;-110.51857142857143;-3.4071428571428575;-1.98;-5.13;-2.7342857142857144;-1.5585714285714285;-41.36571428571428;-570.2071428571428;-11.384285714285713;-13.134285714285713;-10.978571428571428;-3.5066666666666664;-1.2099999999999997;-15.428571428571429;-58.38857142857143;-4.247142857142857;-4.795714285714285;-3.1314285714285712;-16.75;-5.265714285714286;-0.9842857142857143;-6.421428571428572;-40.43285714285714;-13.27142857142857;-3.2985714285714285;-3.7142857142857144;-7.961428571428572;-6.13;-19.91142857142857;-28.86428571428571;-1.487142857142857;-5.804285714285714;-3.8299999999999996;-2.3514285714285714;-2.9457142857142857;-12.714285714285714;-7.042857142857143;-479.52571428571434;-2.37;-28.312857142857144;-25.71;-6.967142857142856;-28.06142857142857;-2.224285714285714;-22.140000000000004;-31.284285714285716;-7.364285714285715;-3.4185714285714286;-2.7771428571428567;-2.937142857142857;-2.7271428571428573;-2.6142857142857143;-3.2542857142857144;-2.2314285714285713;-3.4757142857142855;-8.295714285714286;-1.6442857142857144;-33.395714285714284;-54.99714285714286;-1.3342857142857143;-0.5742857142857142;-4.045714285714285;-5.282857142857142;-2.1814285714285715;-182.04999999999998;-5.424285714285714;-269.63714285714286;-27.645714285714288;-184.78142857142856;-3.2528571428571427;-177.85;-4.752857142857143;-4.242857142857143
2010-01-31;-4.5216666666666665;-38.371428571428574;-6.644285714285714;-4.058571428571429;-3.15;-37.66857142857143;-2.124285714285714;-37.48857142857143;-1.697142857142857;-10.281428571428572;-48.32857142857143;-35.73857142857143;-3.864;-69.90571428571428;-21.725714285714282;-1.0857142857142856;-7.178571428571429;-84.69714285714285;-37.08428571428572;-22.915714285714284;-2.6371428571428575;-6.465714285714285;-12.244285714285715;-9.77;-5.172857142857143;-3.36;-23.134285714285713;-5.356;-3.287142857142857;-4.268571428571429;-11.01;-22.35571428571429;-21.618571428571432;-2.6257142857142854;-29.334285714285716;-4.3028571428571425;-13.334285714285715;-7.777142857142857;-3.5028571428571427;-110.52285714285713;-3.38;-1.9728571428571429;-5.121428571428572;-2.64;-1.6814285714285713;-41.35857142857143;-570.4471428571429;-11.368571428571428;-13.074285714285713;-11.01142857142857;-3.6028571428571428;-1.2085714285714284;-15.45;-58.30142857142857;-4.385714285714285;-4.778571428571429;-3.3614285714285717;-16.73;-6.255714285714285;-1.0771428571428572;-6.402857142857143;-40.455714285714286;-13.3;-3.1714285714285713;-3.775714285714286;-7.618571428571428;-6.13;-20.08142857142857;-28.84857142857143;-1.4728571428571429;-6.090000000000001;-3.7357142857142853;-2.704285714285714;-3.1014285714285714;-11.845714285714285;-6.988571428571428;-479.5014285714286;-2.35;-28.259999999999998;-25.71;-6.968571428571429;-28.03;-2.4442857142857144;-22.134285714285713;-31.322857142857142;-7.335714285714286;-3.442857142857143;-2.7357142857142853;-2.792857142857143;-2.6757142857142857;-2.662857142857143;-3.23;-2.486666666666667;-3.4957142857142856;-8.185714285714285;-1.8099999999999998;-33.41285714285714;-54.98142857142857;-1.35;-0.6114285714285714;-4.1;-5.324285714285715;-2.202857142857143;-182.1185714285714;-5.531666666666666;-269.63142857142856;-27.49285714285714;-184.78714285714287;-3.3785714285714286;-177.82;-4.76;-4.5442857142857145
