date_mesure,B,C,A,D,E
2010-04-22,-0.8309934645532716,-0.25170876785363283,0.2060407865784674,-0.004769936562592392,-0.05792538340576972
2010-04-29,-0.812935336625909,-0.3966028169795146,0.08683370476977326,0.0033694389798795688,0.0916703489179348
2010-05-06,-0.850386763844782,-0.22055916343290044,0.0950101181411338,0.02131065557765849,0.04876610943140264
2010-05-13,-0.9202839385090827,-0.15197954550371184,0.014304556572390409,-0.05220189794519137,0.2815534685256761
2010-05-20,-0.9532113417440424,-0.4086786752376944,-0.09685498824676703,-0.09351144916068166,0.36775624326917183
2010-05-27,-0.9212007674495357,-0.45638364740945386,-0.1470682565607733,-0.11251059494135168,0.6124364723092883
2010-06-03,-0.8751920404376408,-0.5088677723728339,-0.20619087330301986,-0.135704458993889,0.7855158761854195
2010-06-10,-0.8573267795181341,-0.3365901658244395,-0.24946334958046737,-0.12736833418010263,0.8050603728028172
2010-06-17,-0.8995140362365601,-0.15480299180236942,-0.2618164015794458,-0.13529275639010108,0.7656527728264644
2010-06-24,-0.9666353314611387,-0.45218187315570446,-0.3506513903071571,-0.21127262037480532,0.892132023881838
2010-07-01,-1.0435467677642092,-0.7165494805618595,-0.44943669354148785,-0.29866245636851857,1.0470755099860214
2010-07-08,-1.1267332349260673,-0.8713047518171305,-0.5401188732277853,-0.3713946714206038,1.1216279886082376
2010-07-15,-1.156237818462406,-0.9311390751362474,-0.6328460542470957,-0.3930437637654969,1.1645107500385707
2010-07-22,-1.1972315678629806,-0.8506416997128136,-0.694479249343845,-0.40035616313935446,1.1783086013392732
2010-07-29,-1.2540353529352477,-0.9446102905440377,-0.7743834883023835,-0.42331786282439443,1.2217849323640868
2010-08-05,-1.321610229344778,-0.9340334914860171,-0.8468543858243134,-0.4789113084634538,1.306233759922356
2010-08-12,-1.3453779251115217,-0.7614149390801312,-0.9089326175743953,-0.5032029130770337,1.2690275822099812
2010-08-19,-1.2671149745785795,-0.5490097440637551,-0.9356667551486063,-0.5588023867724774,1.3051219658741466
2010-08-26,-1.2059914301248869,-0.4973921762202197,-0.9665421257123128,-0.5820816139709941,1.299137686386788
2010-09-02,-1.2032912653487484,-0.6227253677969469,-1.0199211467509792,-0.5753704611438998,1.2899697467006708
2010-09-09,-1.2556074165637496,-0.45388341993798603,-1.0427530751248466,-0.6385037241027536,1.3094065091489546
2010-09-16,-1.2485684232711176,-0.6824593025661813,-1.0764440717666284,-0.6870481312831527,0.9593785880603968
2010-09-23,-1.2660888767688674,-0.4701387586806604,-1.0878362730113214,-0.7120171456918343,0.6955150813687218
2010-09-30,-1.2600604269594946,-0.5150548381606785,-1.0946189468551237,-0.7349474696055565,0.5875554767716896
2010-10-07,-1.291061840859622,-0.6680595130501656,-1.0932352835118722,-0.7922998197301702,0.6493838816829169
2010-10-14,-1.3506973733153147,-0.8217070720213389,-1.1258438688035142,-0.8493108364770088,0.514605911165069
2010-10-21,-1.391375208624549,-0.7130198646175938,-1.164765344493821,-0.9134660705662462,0.44852006846537107
2010-10-28,-1.382471278902604,-0.5718281688057196,-1.1804107249629046,-0.9162151751221946,0.2849807342133549
2010-11-04,-1.3832189244503237,-0.29065161366477543,-1.0780463061574825,-0.8853198349881288,0.20914394931709968
2010-11-11,-1.345181432703574,0.46909939409137624,-0.6710433451963426,-0.88152843448842,0.1613880146713787
2010-11-18,-1.2692018687536,0.527535657293659,-0.46352848767499766,-0.7510556236635589,0.010129874817382117
