date_mesure;05068X0028_SP010;04514X0018_01;04808X0027_N11;04555X0093_F1;05078X0040_PZN1;06101X0202_SP1;03922X0027_S1;03555X6010_PZ1;05861X0113_SF2;05865X0098_SF2;03586X0145_P2;03201X6016_PZ2;05086X0065_EL33;04818X0545_PZ33;04857X0024_F1993;04518X0044_F3;04555X0095_F3;05078X0041_PZN3;02846X6018_PZ3;03593X0017_PZ14;04818X0544_PZ34;06074X0096_F4;03567X0041_PZ4;05078X0042_PZN5;04513X0085_PZ5;03554X0029_PZ5;04193X0022_S2-6;02854X0024_PZ6;02507X0615_PZ6;04502X0043_SGB7;05334X0011_SF7;03207X0603_PZ7;04502X0044_SGB8;04202X0013_S9;05088X0134_B;05342X0078_FORAGE;04248X0020_F;06094X0181_F;04248X0022_F;04217X0003_F;05863X0203_F;04553X0023_F;06094X0143_F;04242X0053_F;04225X0014_F;05857X0144_F;05068X0054_F;05635X0154_F;04856X0084_F;05625X0036_F;05612X0007_F;03228X0048_F;04806X0003_SF;05366X0035_PIEZO;05842X0011_P;03212X0021_P;04854X0296_P;05092X0009_P;04558X0072_AEP;05866X0091_SR;05858X0203_S;05865X0126_S;05865X0068_S;06102X0620_PZ;05103X0321_PZ;03937X0031_PZ;04532X0051_PZ;05082X0181_PZ;04851X0091_PZ;03195X0513_PZ;03564X0063_PZ;05086X0134_PZ;03904X0064_PZ;04562X0074_PZ;04831X0035_PZ;05857X0145_PZ;05123X0545_PZ;03927X0055_PZ;04838X0175_PZ;04541X0016_PZ;03928X0026_PZ;03936X0056_PZ;03925X0017_PZ;05854X0047_PZ;04854X0257_PZ;04855X0077_PZ;04222X0108_PZ;04253X0549_PZ;04231X0089_PZ
2012-01-01;1.457142857142857;-1.0871428571428572;-2.4285714285714284;-3.0185714285714282;-1.1714285714285713;-5.631428571428572;-8.447142857142856;-6.4071428571428575;-31.837142857142858;-4.717142857142858;-2.38;-2.255714285714286;-4.432857142857143;-5.401428571428572;-1.262857142857143;-1.737142857142857;-1.4100000000000001;-1.0775000000000001;-19.099999999999998;-20.96;-1.7;-2.0557142857142856;-6.472857142857143;-2.8785714285714286;-4.2299999999999995;-13.45857142857143;-2.7657142857142856;-5.595714285714286;-15.56;-2.0685714285714285;-0.8557142857142858;-3.154285714285714;-2.488571428571429;-4.762857142857143;-2.904285714285714;-0.5342857142857144;-10.198571428571428;-2.7214285714285715;-14.718571428571428;-5.288571428571428;-41.521428571428565;-4.371428571428572;-1.9945578231292516;-38.16285714285714;-3.204285714285714;-2.9071428571428575;2.6757142857142857;-56.68285714285714;-8.547142857142857;-83.64857142857143;-41.71857142857142;-4.7;-1.9285714285714286;-70.25142857142858;-40.205714285714286;-10.772857142857143;-2.218571428571429;-3.69;-13.17;-13.99;-14.885714285714286;-3.0185714285714282;-22.301428571428573;-3.1699999999999995;-7.421428571428572;-26.21;-1.52;-1.97;-16.697142857142858;-5.448571428571428;-3.172857142857143;-1.3271428571428572;-5.942857142857143;-8.871428571428572;-14.138571428571428;-2.664285714285714;-14.87142857142857;-39.980000000000004;-4.664285714285714;-3.6671428571428573;-10.751428571428573;-41.15714285714286;-15.332857142857142;-42.28142857142858;-3.097142857142857;-4.5285714285714285;-7.751428571428571;-52.41510204081633;-11.885714285714286
2012-01-08;1.5914285714285714;-0.9057142857142857;-2.3757142857142854;-2.1285714285714286;-1.08;-6.065714285714286;-8.224285714285715;-6.03;-32.57714285714285;-4.822857142857143;-2.2942857142857145;-1.84;-4.192857142857143;-5.29;-1.1628571428571426;-1.5;-4.381428571428572;-1.14125;-18.451428571428572;-21.00714285714286;-1.1171428571428572;-2.157142857142857;-5.5842857142857145;-2.838571428571428;-3.738571428571429;-13.301428571428572;-2.6571428571428575;-4.994285714285715;-4.87;-1.8257142857142856;-0.8328571428571429;-2.677142857142857;-2.2971428571428576;-4.034285714285714;-2.698571428571429;-0.6157142857142858;-10.180000000000001;-2.7142857142857144;-14.667142857142858;-5.2700000000000005;-41.61;-4.354285714285714;-2.0216326530612245;-38.08142857142857;-2.9185714285714286;-3.057142857142857;2.781428571428571;-57.37428571428571;-8.55857142857143;-85.24000000000001;-42.00714285714286;-4.68;-1.7314285714285713;-70.46857142857144;-40.57;-10.485714285714286;-1.9657142857142857;-3.5142857142857147;-13.174285714285714;-14.864285714285714;-15.471428571428572;-3.172857142857143;-22.807142857142857;-3.1885714285714286;-6.525714285714286;-26.114285714285717;-1.3671428571428572;-1.7814285714285716;-16.66857142857143;-5.195714285714286;-2.9385714285714286;-1.2257142857142858;-5.881428571428572;-8.791428571428572;-13.927142857142856;-2.75;-14.671428571428573;-39.94285714285714;-4.49;-3.5342857142857143;-10.688571428571427;-41.142857142857146;-15.304285714285713;-42.4;-2.9185714285714286;-4.425714285714286;-7.748571428571429;-52.32632653061224;-11.501428571428573
2012-01-15;1.5442857142857143;-0.9771428571428571;-2.3857142857142857;-2.077142857142857;-1.1085714285714288;-5.707142857142857;-7.984285714285714;-5.755714285714285;-32.962857142857146;-5.195714285714286;-2.245714285714286;-1.7585714285714287;-4.047142857142857;-5.104285714285715;-1.1171428571428572;-1.3614285714285717;-3.837142857142857;-1.205;-17.704285714285714;-20.997142857142855;-1.2742857142857142;-2.0571428571428574;-5.505714285714285;-2.902857142857143;-3.838571428571428;-13.105714285714287;-2.725714285714286;-5.341428571428572;-2.9585714285714286;-1.8071428571428572;-0.7414285714285714;-2.6185714285714283;-2.454285714285714;-3.915714285714286;-2.557142857142857;-0.48999999999999994;-10.211428571428572;-2.6714285714285713;-14.671428571428573;-5.244285714285715;-41.62714285714286;-4.325714285714286;-2.0487074829931973;-38.13428571428572;-3.0042857142857144;-3.1557142857142857;2.7485714285714287;-56.80428571428571;-8.56;-85.74428571428572;-41.94714285714286;-4.655714285714287;-1.8928571428571428;-70.62;-40.48714285714286;-10.142857142857142;-2.0385714285714287;-3.4699999999999998;-13.179999999999998;-17.877142857142857;-15.707142857142857;-3.184285714285714;-23.295714285714286;-3.1285714285714286;-6.92;-26.117142857142856;-1.37;-1.7957142857142858;-16.642857142857142;-5.0371428571428565;-2.9257142857142857;-1.4142857142857144;-5.8;-8.695714285714287;-13.844285714285714;-2.795714285714286;-14.587142857142856;-39.925714285714285;-4.497142857142857;-3.4914285714285715;-10.615714285714287;-41.15;-15.374285714285715;-42.59285714285714;-2.801428571428571;-4.328571428571428;-7.75;-52.23755102040816;-11.097142857142858
2012-01-22;1.5942857142857143;-1.0142857142857142;-2.36;-3.2142857142857144;-1.1542857142857144;-5.515714285714286;-7.762857142857143;-5.647142857142858;-31.65142857142857;-4.72;-2.2471428571428573;-1.8728571428571428;-3.9514285714285715;-5.064285714285715;-1.07;-1.2785714285714285;-2.5342857142857143;-1.247142857142857;-17.490000000000002;-20.99285714285714;-1.3928571428571428;-1.9742857142857144;-6.088571428571428;-2.8985714285714286;-3.998571428571428;-12.922857142857143;-2.82;-5.82;-3.8728571428571428;-1.8728571428571428;-0.7085714285714285;-2.705714285714286;-2.5528571428571425;-3.9771428571428573;-2.6357142857142857;-0.51;-10.172857142857143;-2.537142857142857;-14.68857142857143;-5.201428571428572;-41.61142857142857;-4.2942857142857145;-2.07578231292517;-38.06714285714286;-3.09;-3.027142857142857;2.8042857142857143;-56.230000000000004;-8.57;-85.59857142857143;-41.862857142857145;-4.662857142857143;-1.9957142857142856;-70.72428571428571;-40.40428571428571;-10.051428571428572;-2.162857142857143;-3.492857142857143;-13.174285714285714;-16.54285714285714;-13.771428571428572;-3.045714285714286;-23.48;-2.9285714285714284;-7.104285714285715;-26.047142857142855;-1.3942857142857144;-1.862857142857143;-16.63714285714286;-4.978571428571429;-3.0614285714285714;-1.4985714285714287;-5.774285714285715;-8.605714285714287;-13.81857142857143;-2.7342857142857144;-14.542857142857143;-39.88285714285714;-4.5042857142857144;-3.4785714285714286;-10.541428571428572;-41.121428571428574;-15.368571428571428;-42.80428571428571;-2.7785714285714285;-4.308571428571429;-7.7542857142857144;-52.14877551020408;-10.762857142857143
2012-01-29;1.497142857142857;-1.0157142857142858;-2.327142857142857;-3.5471428571428576;-1.1842857142857142;-5.438571428571429;-7.62;-5.678571428571429;-30.512857142857143;-4.365714285714286;-2.2785714285714285;-1.937142857142857;-3.8657142857142857;-5.152857142857143;-1.0185714285714285;-1.25;-1.97;-1.272857142857143;-17.454285714285714;-21.00857142857143;-1.4642857142857142;-1.93;-6.508571428571429;-2.8628571428571425;-4.107142857142857;-12.845714285714285;-2.914285714285714;-6.148571428571429;-2.8742857142857146;-1.9228571428571428;-0.7300000000000001;-2.7271428571428573;-2.6157142857142857;-4.031428571428571;-2.71;-0.48;-10.15857142857143;-2.4271428571428575;-14.635714285714286;-5.168571428571428;-41.59142857142857;-4.268571428571429;-2.1028571428571428;-38.00714285714286;-3.132857142857143;-2.894285714285714;2.7014285714285715;-55.684285714285714;-8.587142857142856;-85.45428571428572;-41.87571428571429;-4.68;-2.0685714285714285;-70.85571428571428;-40.32142857142857;-10.015714285714285;-2.2385714285714284;-3.5185714285714282;-13.14857142857143;-14.668571428571429;-12.700000000000001;-2.904285714285714;-23.564285714285713;-2.814285714285714;-7.668571428571428;-25.958571428571428;-1.3985714285714284;-1.8883333333333334;-16.63285714285714;-4.957142857142857;-3.205714285714286;-1.5785714285714287;-5.761428571428572;-8.53;-13.81;-2.6557142857142857;-14.528571428571428;-39.839999999999996;-4.521428571428571;-3.467142857142857;-10.48857142857143;-41.11857142857143;-15.342857142857143;-43.05571428571428;-2.762857142857143;-4.302857142857143;-7.765714285714286;-52.06;-10.535714285714286
2012-02-05;1.7742857142857142;-0.9414285714285714;-2.3214285714285716;-3.505714285714286;-1.1685714285714286;-5.367142857142857;-7.538571428571429;-5.661428571428572;-29.72714285714286;-4.042857142857143;-2.28;-1.9557142857142857;-3.801428571428571;-5.282857142857144;-1.012857142857143;-1.2285714285714284;-1.792857142857143;-1.1614285714285713;-17.482857142857142;-21.027142857142856;-1.3342857142857143;-1.9;-6.74;-2.858571428571428;-4.0200000000000005;-12.822857142857144;-2.9285714285714284;-6.3100000000000005;-3.4185714285714286;-1.9128571428571426;-0.5485714285714286;-2.71;-2.5785714285714287;-4.0042857142857144;-2.755714285714286;-0.37857142857142856;-10.19;-2.3628571428571425;-14.558571428571428;-5.132857142857143;-41.56428571428571;-4.242857142857143;-2.144285714285714;-38.03857142857142;-3.19;-2.7985714285714285;2.8871428571428575;-55.58857142857143;-8.59;-85.39999999999999;-41.98142857142857;-4.7;-2.064285714285714;-70.99428571428571;-40.23857142857143;-9.87857142857143;-2.2399999999999998;-3.5228571428571427;-13.14;-12.99;-11.714285714285714;-2.7800000000000002;-23.592857142857145;-2.7771428571428567;-6.682857142857143;-25.955714285714286;-1.337142857142857;-1.8933333333333333;-16.635714285714286;-4.992857142857143;-3.287142857142857;-1.5642857142857143;-5.774285714285715;-8.505714285714285;-13.805;-2.5985714285714288;-14.551428571428572;-39.80142857142857;-4.57;-3.467142857142857;-10.477142857142857;-41.13428571428572;-15.361428571428572;-43.35142857142858;-2.75;-4.305714285714286;-7.7700000000000005;-52.01285714285715;-10.395714285714286
2012-02-12;1.8171428571428572;-0.92;-2.347142857142857;-3.761428571428571;-1.2014285714285715;-5.285714285714286;-7.485714285714286;-5.55;-29.202857142857145;-3.801428571428571;-2.31;-2.0942857142857143;-3.7685714285714282;-5.457142857142857;-1.01;-1.2257142857142858;-1.7042857142857142;-1.2242857142857144;-17.467142857142857;-21.02857142857143;-1.4485714285714286;-1.8885714285714283;-6.905714285714287;-2.8785714285714286;-4.05;-12.821428571428571;-2.9814285714285718;-6.345000000000001;-4.65;-1.9271428571428573;-0.44857142857142857;-2.7785714285714285;-2.5828571428571427;-2.948571428571429;-2.7985714285714285;-0.34285714285714286;-10.215714285714286;-2.3057142857142856;-14.707142857142857;-5.112857142857143;-41.53142857142858;-4.225714285714286;-2.144285714285714;-38.08714285714286;-3.29;-2.7314285714285718;2.7914285714285714;-55.56;-8.6;-85.30428571428571;-41.89857142857143;-4.717142857142858;-2.0742857142857143;-71.05;-40.15571428571429;-9.821428571428571;-2.2657142857142856;-3.5485714285714285;-13.178571428571429;-11.62857142857143;-11.540000000000001;-2.6771428571428575;-23.50857142857143;-2.7142857142857144;-5.848571428571428;-25.91857142857143;-1.2914285714285716;-1.9114285714285713;-16.655714285714286;-4.974285714285714;-3.327142857142857;-1.647142857142857;-5.797142857142857;-8.495714285714286;-13.796666666666667;-2.5599999999999996;-14.537142857142857;-39.78000000000001;-4.612857142857143;-3.474285714285714;-10.47;-41.14;-15.414285714285715;-43.637142857142855;-2.75;-4.308571428571428;-7.78;-51.94;-10.292857142857143
2012-02-19;1.747142857142857;-0.8642857142857142;-2.2971428571428567;-4.1414285714285715;-1.2042857142857142;-5.1971428571428575;-7.445714285714287;-5.432857142857143;-28.912857142857142;-3.757142857142857;-2.295714285714286;-2.027142857142857;-3.7114285714285713;-5.578571428571428;-0.97;-1.2242857142857144;-2.144285714285714;-1.3057142857142858;-17.445714285714285;-21.00142857142857;-1.467142857142857;-1.8757142857142857;-6.941428571428572;-2.89;-4.062857142857142;-12.758571428571429;-3.032857142857143;-6.380000000000001;-5.32;-1.9642857142857142;-0.40285714285714286;-2.5471428571428567;-2.6157142857142857;-2.6314285714285717;-2.8299999999999996;-0.31999999999999995;-10.168571428571427;-2.2828571428571425;-14.644285714285715;-5.121428571428572;-41.50857142857143;-4.208571428571429;-2.1542857142857144;-37.978571428571435;-3.132857142857143;-2.6999999999999997;2.82;-55.47428571428571;-8.6;-85.16857142857144;-41.80285714285714;-4.727142857142858;-2.1271428571428572;-71.11714285714285;-40.072857142857146;-9.932857142857143;-2.222857142857143;-3.5271428571428567;-13.179999999999998;-10.861428571428572;-11.29142857142857;-2.6257142857142854;-23.43;-2.63;-7.075714285714286;-25.80857142857143;-1.24;-1.9514285714285715;-16.654285714285713;-4.904285714285714;-3.144285714285714;-1.6885714285714286;-5.774285714285715;-8.472857142857142;-13.788333333333332;-2.544285714285714;-14.434285714285716;-39.75285714285714;-4.607142857142857;-3.4414285714285713;-10.44;-41.097142857142856;-15.384285714285713;-43.94142857142857;-2.7457142857142856;-4.285714285714286;-7.78;-51.88857142857143;-10.18142857142857
2012-02-26;1.7228571428571429;-0.8342857142857143;-2.31;-4.015714285714286;-1.2085714285714284;-5.194285714285714;-7.427142857142857;-5.32;-28.74857142857143;-3.7685714285714282;-2.2885714285714287;-1.9042857142857144;-3.6871428571428573;-5.667142857142857;-0.9585714285714285;-1.2228571428571429;-2.4183333333333334;-1.32;-17.384285714285713;-21.044285714285714;-1.4528571428571428;-1.852857142857143;-6.767142857142858;-2.891428571428572;-4.085714285714286;-12.724285714285713;-3.011428571428571;-6.3428571428571425;-4.027142857142857;-1.9928571428571427;-0.35714285714285715;-2.468571428571429;-2.64;-2.664285714285714;-2.8542857142857145;-0.34142857142857147;-10.198571428571428;-2.3428571428571425;-14.621428571428572;-5.144285714285714;-41.48857142857143;-4.194285714285715;-2.0914285714285716;-38.032000000000004;-3.1042857142857145;-2.662857142857143;2.8728571428571428;-55.44857142857143;-8.61;-84.96000000000001;-41.77571428571429;-4.732857142857143;-2.185714285714286;-71.25142857142858;-39.99;-9.90857142857143;-2.1671428571428573;-3.564285714285714;-13.18142857142857;-10.165714285714285;-10.879999999999999;-2.5614285714285714;-23.327142857142857;-2.557142857142857;-7.431428571428571;-25.82857142857143;-1.25;-1.9742857142857144;-16.65;-4.922857142857143;-2.9457142857142857;-1.7314285714285713;-5.7542857142857144;-8.465714285714286;-13.794285714285715;-2.5185714285714282;-14.335714285714285;-39.73857142857143;-4.628571428571428;-3.4400000000000004;-10.442857142857141;-41.12714285714286;-15.402857142857144;-44.16285714285714;-2.7328571428571427;-4.244285714285715;-7.7942857142857145;-51.87714285714286;-10.125714285714285
2012-03-04;1.8228571428571427;-0.8485714285714285;-2.2742857142857145;-4.34;-1.2085714285714284;-5.134285714285714;-7.408333333333334;-5.244285714285715;-28.609999999999996;-3.725714285714286;-2.2857142857142856;-1.9585714285714284;-3.6257142857142854;-5.735714285714286;-0.92;-1.2285714285714284;-2.03;-1.35;-17.318571428571428;-21.024285714285718;-1.5385714285714285;-1.8228571428571427;-6.71;-2.914285714285714;-4.104285714285715;-12.617142857142856;-2.98;-6.331428571428572;-3.9414285714285713;-2.0142857142857142;-0.5042857142857143;-2.5042857142857144;-2.664285714285714;-2.6385714285714283;-2.8742857142857146;-0.33714285714285713;-10.172857142857142;-2.3685714285714288;-14.56;-5.132857142857143;-41.49571428571428;-4.177142857142857;-2.0585714285714287;-37.932500000000005;-3.261428571428571;-2.617142857142857;2.9814285714285718;-55.36857142857143;-8.61;-84.81285714285715;-41.739999999999995;-4.75;-2.232857142857143;-71.38428571428571;-39.792857142857144;-9.975714285714286;-2.1814285714285715;-3.551428571428571;-13.171428571428573;-9.651428571428571;-10.395714285714286;-2.5;-23.19;-2.514285714285714;-7.618571428571428;-25.755714285714284;-1.3185714285714287;-1.9842857142857144;-16.648571428571426;-4.8028571428571425;-3.0028571428571427;-1.7671428571428573;-5.7128571428571435;-8.424285714285714;-13.784285714285714;-2.4857142857142853;-14.154285714285715;-39.71;-4.63;-3.424285714285714;-10.421428571428573;-41.1;-15.385714285714286;-44.33714285714286;-2.7271428571428573;-4.208571428571429;-7.7942857142857145;-51.848571428571425;-10.037142857142857
